severity,query,intended,winner,option,files_to_change,imp_14d,est_monthly_reclaim_imp,num_urls,avg_position
CRITICAL,stove repair,/services/oven-repair/,/services/stove-repair-los-angeles/,B,src/pages/services/oven-repair.astro (internal links sweep across src/**.astro pointing to /services/oven-repair/),112,144,5,25.21
CRITICAL,freezer repair cost,/price-list/refrigerator-repair-cost/,/price-list/freezer-repair-cost/,A,src/pages/price-list/freezer-repair-cost.astro (add canonical→/price-list/refrigerator-repair-cost/),109,140,4,56.74
CRITICAL,washing machine repair,/services/washer-repair/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/services/washer-repair/),101,130,3,2.78
CRITICAL,appliance repair,/,/pasadena/,C,src/pages/index.astro (content expansion + add query cluster),100,129,8,16.78
CRITICAL,wine fridge repair cost,/price-list/refrigerator-repair-cost/,/price-list/wine-cooler-repair-cost/,A,src/pages/price-list/wine-cooler-repair-cost.astro (add canonical→/price-list/refrigerator-repair-cost/),81,104,2,22.49
CRITICAL,appliance repair north hollywood ca,/hollywood/,/north-hollywood/,A,src/pages/north-hollywood.astro (add canonical→/hollywood/),77,99,3,38.62
CRITICAL,appliance repair service,/,/los-angeles/,C,src/pages/index.astro (content expansion + add query cluster),76,98,2,1.53
CRITICAL,washer repair,/services/washer-repair/,/pasadena/,A,src/pages/pasadena.astro (add canonical→/services/washer-repair/),73,94,3,19.57
CRITICAL,appliance repair oak park ca,/oak-park/,/thousand-oaks/,A,src/pages/thousand-oaks.astro (add canonical→/oak-park/),72,93,2,7.8
CRITICAL,dryer repair near me,/services/dryer-repair/,/thousand-oaks/,A,src/pages/thousand-oaks.astro (add canonical→/services/dryer-repair/),72,93,5,19.99
CRITICAL,steam oven repair,/services/oven-repair/,/services/wall-oven-repair/,A,src/pages/services/wall-oven-repair.astro (add canonical→/services/oven-repair/),72,93,2,24.44
CRITICAL,slushi machine repair,/,/services/commercial-slushie-machine-repair-los-angeles/,C,src/pages/index.astro (content expansion + add query cluster),71,91,4,25.47
CRITICAL,walk in refrigerator repair,/services/refrigerator-repair/,/,D,public/_redirects + astro.config.mjs (301 / → /services/refrigerator-repair/); delete src/pages/index.astro,71,91,1,46.4
CRITICAL,commercial fryer repair,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/commercial-fryer-machine-repair-los-angeles/ → /commercial/fryer-repair/); delete src/pages/[city]/[service].astro,70,90,2,62.31
CRITICAL,same day stove repair oc,/services/oven-repair/,/book/,A,src/pages/book.astro (add canonical→/services/oven-repair/),68,87,4,26.82
CRITICAL,refrigerator repair los angeles,/los-angeles/refrigerator-repair/,/services/refrigerator-repair/,A,src/pages/services/refrigerator-repair.astro (add canonical→/los-angeles/refrigerator-repair/),66,85,4,38.56
CRITICAL,appliance repair santa monica ca,/santa-monica/,/los-angeles/,A,src/pages/los-angeles.astro (add canonical→/santa-monica/),64,82,2,10.15
CRITICAL,appliance repair moorpark ca,/moorpark/,/thousand-oaks/,A,src/pages/thousand-oaks.astro (add canonical→/moorpark/),61,78,2,11.14
CRITICAL,electric wall heater repair,/,/services/wall-heater-repair-los-angeles/,C,src/pages/index.astro (content expansion + add query cluster),55,71,1,43.9
CRITICAL,outdoor grill repair,/outdoor/grill-repair/,/services/bbq-grill-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/bbq-grill-repair-los-angeles/ → /outdoor/grill-repair/); delete src/pages/[city]/[service].astro,55,71,2,56.01
CRITICAL,range service,/services/oven-repair/,/services/range-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/services/oven-repair/),55,71,3,34.7
CRITICAL,commercial slushie machine repair,/,/price-list/commercial-slushie-machine-repair-cost/,C,src/pages/index.astro (content expansion + add query cluster),54,69,3,22.63
CRITICAL,repair deep fryer,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/commercial-fryer-machine-repair-los-angeles/ → /commercial/fryer-repair/); delete src/pages/[city]/[service].astro,54,69,2,62.24
CRITICAL,same day service,/,/book/,C,src/pages/index.astro (content expansion + add query cluster),54,69,3,16.82
HIGH,emergency ammonia refrigeration repair california,/,/commercial/refrigeration/,C,src/pages/index.astro (content expansion + add query cluster),48,62,3,58.6
HIGH,fridge repair near me,/services/refrigerator-repair/,/pasadena/,A,src/pages/pasadena.astro (add canonical→/services/refrigerator-repair/),48,62,7,18.61
HIGH,range repair,/services/oven-repair/,/agoura-hills/,A,src/pages/agoura-hills.astro (add canonical→/services/oven-repair/),48,62,4,34.18
HIGH,appliance repair marina del rey ca,/marina-del-rey/,/los-angeles/,A,src/pages/los-angeles.astro (add canonical→/marina-del-rey/),47,60,2,9.67
HIGH,appliance repair west los angeles,/los-angeles/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/los-angeles/),46,59,2,13.61
HIGH,lg washer repair,/brands/lg-washer-repair-washer-repair/,/brands/lg/,D,public/_redirects + astro.config.mjs (301 /brands/lg/ → /brands/lg-washer-repair-washer-repair/); delete src/pages/brands/lg.astro,46,59,1,74.7
HIGH,commercial deep fryer repair,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/commercial-fryer-machine-repair-los-angeles/ → /commercial/fryer-repair/); delete src/pages/[city]/[service].astro,45,58,2,63.2
HIGH,commercial pizza oven repair,/outdoor/pizza-oven-repair/,/commercial/pizza-oven-repair/,D,public/_redirects + astro.config.mjs (301 /commercial/pizza-oven-repair/ → /outdoor/pizza-oven-repair/); delete src/pages/commercial/pizza-oven-repair.astro,45,58,1,77.1
HIGH,emergency refrigerator repair,/services/refrigerator-repair/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/services/refrigerator-repair/),45,58,4,22.58
HIGH,appliance repair venice ca,/,/los-angeles/,C,src/pages/index.astro (content expansion + add query cluster),44,57,1,19.6
HIGH,commercial gas fryer repair,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/commercial-fryer-machine-repair-los-angeles/ → /commercial/fryer-repair/); delete src/pages/[city]/[service].astro,44,57,2,77.45
HIGH,appliance repair west hollywood ca,/hollywood/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/hollywood/),43,55,1,2.0
HIGH,refrigirator repair service,/,/los-angeles/,C,src/pages/index.astro (content expansion + add query cluster),43,55,2,1.0
HIGH,fireplace repair los angeles,/outdoor/fireplace-repair/,/services/fireplace-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/outdoor/fireplace-repair/),42,54,1,22.5
HIGH,same day appliance repair orange county,/,/book/,C,src/pages/index.astro (content expansion + add query cluster),42,54,3,23.34
HIGH,walk-in refrigerator repair,/services/refrigerator-repair/,/,D,public/_redirects + astro.config.mjs (301 / → /services/refrigerator-repair/); delete src/pages/index.astro,42,54,1,36.8
HIGH,ac service cost,/,/price-list/air-conditioner-repair-cost/,C,src/pages/index.astro (content expansion + add query cluster),41,53,1,72.5
HIGH,appliance repair simi valley ca,/simi-valley/,/thousand-oaks/,A,src/pages/thousand-oaks.astro (add canonical→/simi-valley/),41,53,2,8.68
HIGH,refrigirator repair,/,/los-angeles/,C,src/pages/index.astro (content expansion + add query cluster),41,53,2,1.0
HIGH,wine cellar cooling unit repair los angeles,/los-angeles/wine-cellar-cooling-repair/,/price-list/wine-cellar-repair-cost/,B,src/pages/los-angeles/wine-cellar-cooling-repair.astro (internal links sweep across src/**.astro pointing to /los-angeles/wine-cellar-cooling-repair/),41,53,5,33.4
HIGH,24 hour industrial refrigeration service california,/,/services/outdoor-refrigerator-repair/,C,src/pages/index.astro (content expansion + add query cluster),40,51,2,64.56
HIGH,oven service,/services/oven-repair/,/agoura-hills/,A,src/pages/agoura-hills.astro (add canonical→/services/oven-repair/),38,49,3,27.82
HIGH,thermador repair,/brands/thermador/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/brands/thermador/),38,49,2,1.0
HIGH,ac repair cost,/,/price-list/air-conditioner-repair-cost/,C,src/pages/index.astro (content expansion + add query cluster),37,48,1,68.0
HIGH,dryer repair pasadena,/pasadena/dryer-repair/,/pasadena/,A,src/pages/pasadena.astro (add canonical→/pasadena/dryer-repair/),37,48,1,45.0
HIGH,fireplace repair cost,/outdoor/fireplace-repair/,/price-list/fireplace-repair-cost/,A,src/pages/price-list/fireplace-repair-cost.astro (add canonical→/outdoor/fireplace-repair/),37,48,1,18.6
HIGH,refrigerator repair los angeles ca,/los-angeles/refrigerator-repair/,/los-angeles/,A,src/pages/los-angeles.astro (add canonical→/los-angeles/refrigerator-repair/),37,48,3,62.82
HIGH,wine cooler repair,/services/wine-cooler-repair/,/services/wine-cooler-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/wine-cooler-repair-los-angeles/ → /services/wine-cooler-repair/); delete src/pages/[city]/[service].astro,37,48,2,42.68
HIGH,lg dishwasher repair,/brands/lg-dishwasher-repair-dishwasher-repair/,/brands/lg/,D,public/_redirects + astro.config.mjs (301 /brands/lg/ → /brands/lg-dishwasher-repair-dishwasher-repair/); delete src/pages/brands/lg.astro,36,46,1,51.1
HIGH,wine guardian repair los angeles,/brands/wine-guardian-repair/,/services/wine-cellar-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/brands/wine-guardian-repair/),36,46,4,12.87
HIGH,fryer repair,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/commercial-fryer-machine-repair-los-angeles/ → /commercial/fryer-repair/); delete src/pages/[city]/[service].astro,35,45,1,51.2
HIGH,woodland hills stove repair,/woodland-hills/oven-repair/,/woodland-hills/,D,public/_redirects + astro.config.mjs (301 /woodland-hills/ → /woodland-hills/oven-repair/); delete src/pages/woodland-hills.astro,35,45,1,68.8
HIGH,cellarpro repair los angeles,/brands/cellarpro/,/services/wine-cellar-repair/,A,src/pages/services/wine-cellar-repair.astro (add canonical→/brands/cellarpro/),34,44,3,11.44
HIGH,dryer repair burbank,/burbank/dryer-repair/,/burbank/,D,public/_redirects + astro.config.mjs (301 /burbank/ → /burbank/dryer-repair/); delete src/pages/burbank.astro,34,44,1,61.9
HIGH,outdoor kitchen repair,/outdoor/outdoor-kitchen-repair/,/outdoor/,D,public/_redirects + astro.config.mjs (301 /outdoor/ → /outdoor/outdoor-kitchen-repair/); delete src/pages/outdoor.astro,34,44,2,26.0
HIGH,appliance repair san bernardino ca,/san-bernardino/,/san-bernardino-county/,D,public/_redirects + astro.config.mjs (301 /san-bernardino-county/ → /san-bernardino/); delete src/pages/san-bernardino-county.astro,33,42,2,54.69
HIGH,commercial laundry machine repair,/,/commercial/laundry-repair/,C,src/pages/index.astro (content expansion + add query cluster),33,42,3,73.38
HIGH,walk in freezer repair,/services/refrigerator-repair/,/,D,public/_redirects + astro.config.mjs (301 / → /services/refrigerator-repair/); delete src/pages/index.astro,33,42,1,36.6
HIGH,walk-in cooler repair near me,/commercial/walk-in-cooler-repair/,/,D,public/_redirects + astro.config.mjs (301 / → /commercial/walk-in-cooler-repair/); delete src/pages/index.astro,33,42,1,63.0
HIGH,appliance repair los angeles,/los-angeles/,/areas/los-angeles-and-surrounding-areas/,D,public/_redirects + astro.config.mjs (301 /areas/los-angeles-and-surrounding-areas/ → /los-angeles/); delete src/pages/[city]/[service].astro,32,41,2,43.68
HIGH,appliance repair ventura,/ventura/,/ventura-county/,D,public/_redirects + astro.config.mjs (301 /ventura-county/ → /ventura/); delete src/pages/ventura-county.astro,32,41,2,65.9
HIGH,dishwasher repair near me,/services/dishwasher-repair/,/thousand-oaks/,A,src/pages/thousand-oaks.astro (add canonical→/services/dishwasher-repair/),32,41,1,1.0
HIGH,lg refrigerator repair,/brands/lg-refrigerator-repair-refrigerator-repair/,/brands/lg/,D,public/_redirects + astro.config.mjs (301 /brands/lg/ → /brands/lg-refrigerator-repair-refrigerator-repair/); delete src/pages/brands/lg.astro,32,41,2,65.97
HIGH,refrigerator repair monterey,/services/refrigerator-repair/,/monterey-park/,D,public/_redirects + astro.config.mjs (301 /monterey-park/ → /services/refrigerator-repair/); delete src/pages/monterey-park.astro,32,41,1,45.4
HIGH,same-day appliance repair reviews,/,/reviews-page/,C,src/pages/index.astro (content expansion + add query cluster),32,41,1,5.0
HIGH,walk in wine cellar repair,/services/wine-cellar-cooling-repair/,/services/wine-cellar-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/services/wine-cellar-cooling-repair/),32,41,2,20.53
HIGH,bull outdoor refrigerator repair,/outdoor/outdoor-refrigerator-repair/,/services/outdoor-refrigerator-repair/,D,public/_redirects + astro.config.mjs (301 /services/outdoor-refrigerator-repair/ → /outdoor/outdoor-refrigerator-repair/); delete src/pages/services/outdoor-refrigerator-repair.astro,31,40,2,40.46
HIGH,ice maker repair near me,/services/ice-maker-repair/,/anaheim/,A,src/pages/anaheim.astro (add canonical→/services/ice-maker-repair/),31,40,4,15.36
HIGH,walk in cooler repair,/commercial/walk-in-cooler-repair/,/,D,public/_redirects + astro.config.mjs (301 / → /commercial/walk-in-cooler-repair/); delete src/pages/index.astro,31,40,1,27.7
HIGH,wall heater repair,/,/services/wall-heater-repair-los-angeles/,C,src/pages/index.astro (content expansion + add query cluster),31,40,1,59.4
HIGH,combi oven repair,/commercial/combi-oven-repair/,/services/wall-oven-repair/,A,src/pages/services/wall-oven-repair.astro (add canonical→/commercial/combi-oven-repair/),30,39,2,20.7
HIGH,dryer repair ventura,/ventura/dryer-repair/,/ventura/,D,public/_redirects + astro.config.mjs (301 /ventura/ → /ventura/dryer-repair/); delete src/pages/ventura.astro,30,39,2,61.85
HIGH,fridge repair,/services/refrigerator-repair/,/pasadena/,A,src/pages/pasadena.astro (add canonical→/services/refrigerator-repair/),30,39,4,17.58
HIGH,oven repair burbank,/burbank/oven-repair/,/burbank/,D,public/_redirects + astro.config.mjs (301 /burbank/ → /burbank/oven-repair/); delete src/pages/burbank.astro,30,39,1,60.3
HIGH,wine guardian repair,/brands/wine-guardian-repair/,/services/wine-cellar-repair/,A,src/pages/services/wine-cellar-repair.astro (add canonical→/brands/wine-guardian-repair/),30,39,4,20.2
HIGH,woodland hills dryer repair,/woodland-hills/dryer-repair/,/woodland-hills/,D,public/_redirects + astro.config.mjs (301 /woodland-hills/ → /woodland-hills/dryer-repair/); delete src/pages/woodland-hills.astro,30,39,1,62.0
HIGH,woodland hills oven repair,/woodland-hills/oven-repair/,/woodland-hills/,D,public/_redirects + astro.config.mjs (301 /woodland-hills/ → /woodland-hills/oven-repair/); delete src/pages/woodland-hills.astro,30,39,1,64.0
HIGH,dryer service,/services/dryer-repair/,/agoura-hills/,D,public/_redirects + astro.config.mjs (301 /agoura-hills/ → /services/dryer-repair/); delete src/pages/agoura-hills.astro,29,37,2,28.74
HIGH,appliance repair ventura county,/ventura/,/ventura-county/,D,public/_redirects + astro.config.mjs (301 /ventura-county/ → /ventura/); delete src/pages/ventura-county.astro,28,36,2,62.75
HIGH,commercial barbecue repair,/,/services/bbq-grill-repair-los-angeles/,C,src/pages/index.astro (content expansion + add query cluster),28,36,1,20.6
HIGH,same day hvac repair,/,/services/hvac-repair-los-angeles/,C,src/pages/index.astro (content expansion + add query cluster),28,36,1,7.1
HIGH,stove service,/services/oven-repair/,/services/stove-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/stove-repair-los-angeles/ → /services/oven-repair/); delete src/pages/[city]/[service].astro,28,36,2,29.16
HIGH,whisperkool repair los angeles,/brands/whisperkool/,/price-list/wine-cellar-repair-cost/,A,src/pages/price-list/wine-cellar-repair-cost.astro (add canonical→/brands/whisperkool/),28,36,3,14.56
HIGH,appliance repair west la,/los-angeles/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/los-angeles/),27,35,1,14.8
HIGH,appliane repair culver city ca,/culver-city/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/culver-city/),27,35,1,21.0
HIGH,gas fireplace repair cost,/outdoor/fireplace-repair/,/price-list/fireplace-repair-cost/,A,src/pages/price-list/fireplace-repair-cost.astro (add canonical→/outdoor/fireplace-repair/),27,35,1,16.9
HIGH,walk in freezer repair near me,/services/refrigerator-repair/,/,D,public/_redirects + astro.config.mjs (301 / → /services/refrigerator-repair/); delete src/pages/index.astro,27,35,1,50.7
HIGH,washer repair near me,/services/washer-repair/,/rancho-cucamonga/,A,src/pages/rancho-cucamonga.astro (add canonical→/services/washer-repair/),27,35,2,16.21
HIGH,commercial holding cabinet repair,/,/commercial/holding-cabinet-repair/,C,src/pages/index.astro (content expansion + add query cluster),26,33,1,19.1
HIGH,commercial laundry repair,/,/commercial/laundry-repair/,C,src/pages/index.astro (content expansion + add query cluster),26,33,2,65.98
HIGH,lg washing machine repair near me,/brands/lg-washer-repair/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/brands/lg-washer-repair/),26,33,1,2.9
HIGH,small appliance repair ventura ca,/ventura/,/ventura-county/,D,public/_redirects + astro.config.mjs (301 /ventura-county/ → /ventura/); delete src/pages/ventura-county.astro,26,33,2,62.4
HIGH,woodland hills washer repair,/woodland-hills/washer-repair/,/woodland-hills/,D,public/_redirects + astro.config.mjs (301 /woodland-hills/ → /woodland-hills/washer-repair/); delete src/pages/woodland-hills.astro,26,33,1,64.7
HIGH,commercial dryer repair,/commercial/dryer-repair/,/commercial/laundry-repair/,D,public/_redirects + astro.config.mjs (301 /commercial/laundry-repair/ → /commercial/dryer-repair/); delete src/pages/commercial/laundry-repair.astro,25,32,1,35.0
HIGH,dacor appliance repair,/brands/dacor/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/brands/dacor/),25,32,1,1.0
HIGH,gas stove repair near me,/services/oven-repair/,/services/stove-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/services/oven-repair/),25,32,3,34.59
HIGH,outdoor gas grill repair,/outdoor/grill-repair/,/services/bbq-grill-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/bbq-grill-repair-los-angeles/ → /outdoor/grill-repair/); delete src/pages/[city]/[service].astro,25,32,2,64.46
HIGH,refrigerator repair ventura ca,/ventura/refrigerator-repair/,/ventura-county/,D,public/_redirects + astro.config.mjs (301 /ventura-county/ → /ventura/refrigerator-repair/); delete src/pages/ventura-county.astro,25,32,2,61.99
HIGH,stacked dryer repair,/services/dryer-repair/,/services/stackable-washer-dryer-repair/,D,public/_redirects + astro.config.mjs (301 /services/stackable-washer-dryer-repair/ → /services/dryer-repair/); delete src/pages/services/stackable-washer-dryer-repair.astro,25,32,2,60.62
HIGH,walk in cooler repair near me,/commercial/walk-in-cooler-repair/,/,D,public/_redirects + astro.config.mjs (301 / → /commercial/walk-in-cooler-repair/); delete src/pages/index.astro,25,32,1,30.0
HIGH,washer repair ventura,/ventura/washer-repair/,/ventura/,D,public/_redirects + astro.config.mjs (301 /ventura/ → /ventura/washer-repair/); delete src/pages/ventura.astro,25,32,2,65.82
HIGH,cove dishwasher repair brentwood,/brands/cove-dishwasher-repair-dishwasher-repair/,/brentwood/,A,src/pages/brentwood.astro (add canonical→/brands/cove-dishwasher-repair-dishwasher-repair/),24,31,1,18.5
HIGH,electrical bbq repair,/outdoor/grill-repair/,/services/bbq-grill-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/outdoor/grill-repair/),24,31,1,15.3
HIGH,gas fryer repair,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/commercial-fryer-machine-repair-los-angeles/ → /commercial/fryer-repair/); delete src/pages/[city]/[service].astro,24,31,1,66.5
HIGH,oven repair los angeles,/los-angeles/oven-repair/,/services/oven-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/los-angeles/oven-repair/),24,31,1,22.8
HIGH,stove repair pasadena,/pasadena/oven-repair/,/pasadena/,A,src/pages/pasadena.astro (add canonical→/pasadena/oven-repair/),24,31,2,45.67
HIGH,appliance repair monterey,/,/monterey-park/,C,src/pages/index.astro (content expansion + add query cluster),23,30,1,42.1
HIGH,emergency industrial refrigeration repair california,/,/commercial/refrigeration/,C,src/pages/index.astro (content expansion + add query cluster),23,30,1,65.7
HIGH,freezer repair,/services/refrigerator-repair/,/services/freezer-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/services/refrigerator-repair/),23,30,1,11.2
HIGH,maytag dryer repair,/brands/maytag-dryer-repair-dryer-repair/,/brands/maytag/,D,public/_redirects + astro.config.mjs (301 /brands/maytag/ → /brands/maytag-dryer-repair-dryer-repair/); delete src/pages/brands/maytag.astro,23,30,2,52.42
HIGH,pizza oven repair,/outdoor/pizza-oven-repair/,/commercial/pizza-oven-repair/,D,public/_redirects + astro.config.mjs (301 /commercial/pizza-oven-repair/ → /outdoor/pizza-oven-repair/); delete src/pages/commercial/pizza-oven-repair.astro,23,30,2,64.9
HIGH,refrigeration repair near me,/,/riverside-county/,C,src/pages/index.astro (content expansion + add query cluster),23,30,1,86.4
HIGH,woodland hills ge repair,/brands/ge/,/woodland-hills/,D,public/_redirects + astro.config.mjs (301 /woodland-hills/ → /brands/ge/); delete src/pages/woodland-hills.astro,23,30,1,58.9
HIGH,cooktop repair pasadena,/pasadena/cooktop-repair/,/pasadena/,A,src/pages/pasadena.astro (add canonical→/pasadena/cooktop-repair/),22,28,2,40.84
HIGH,fireplace service los angeles,/outdoor/fireplace-repair/,/services/fireplace-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/fireplace-repair-los-angeles/ → /outdoor/fireplace-repair/); delete src/pages/[city]/[service].astro,22,28,1,29.6
HIGH,freezer repair los angeles,/los-angeles/refrigerator-repair/,/services/freezer-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/los-angeles/refrigerator-repair/),22,28,3,43.62
HIGH,walk in cooler repair anaheim ca,/commercial/walk-in-cooler-repair/,/anaheim/,A,src/pages/anaheim.astro (add canonical→/commercial/walk-in-cooler-repair/),22,28,3,50.15
HIGH,appliance repair los angeles ca,/los-angeles/,/areas/los-angeles-and-surrounding-areas/,D,public/_redirects + astro.config.mjs (301 /areas/los-angeles-and-surrounding-areas/ → /los-angeles/); delete src/pages/[city]/[service].astro,21,27,2,60.14
HIGH,california same day appliance repair,/,/west-hollywood/,C,src/pages/index.astro (content expansion + add query cluster),21,27,3,11.89
HIGH,cellarpro repair,/brands/cellarpro/,/services/wine-cellar-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/wine-cellar-repair-los-angeles/ → /brands/cellarpro/); delete src/pages/[city]/[service].astro,21,27,2,30.45
HIGH,commercial appliance repair los angeles,/los-angeles/,/commercial/washer-repair/,A,src/pages/commercial/washer-repair.astro (add canonical→/los-angeles/),21,27,3,63.66
HIGH,commercial laundry equipment service,/,/commercial/washer-repair/,C,src/pages/index.astro (content expansion + add query cluster),21,27,2,53.11
HIGH,pasadena refrigerator repair,/pasadena/refrigerator-repair/,/pasadena/,A,src/pages/pasadena.astro (add canonical→/pasadena/refrigerator-repair/),21,27,1,44.0
HIGH,pizza ovens repair,/outdoor/pizza-oven-repair/,/price-list/pizza-oven-repair-cost/,D,public/_redirects + astro.config.mjs (301 /price-list/pizza-oven-repair-cost/ → /outdoor/pizza-oven-repair/); delete src/pages/price-list/pizza-oven-repair-cost.astro,21,27,2,42.11
HIGH,refrigerator repair brentwood,/brentwood/refrigerator-repair/,/brentwood/,D,public/_redirects + astro.config.mjs (301 /brentwood/ → /brentwood/refrigerator-repair/); delete src/pages/brentwood.astro,21,27,1,36.8
HIGH,refrigerator service,/services/refrigerator-repair/,/agoura-hills/,D,public/_redirects + astro.config.mjs (301 /agoura-hills/ → /services/refrigerator-repair/); delete src/pages/agoura-hills.astro,21,27,2,42.69
HIGH,walk-in freezer repair,/services/refrigerator-repair/,/,D,public/_redirects + astro.config.mjs (301 / → /services/refrigerator-repair/); delete src/pages/index.astro,21,27,1,43.9
HIGH,wolf range repair brentwood,/brands/wolf-range-repair-oven-repair/,/brentwood/,A,src/pages/brentwood.astro (add canonical→/brands/wolf-range-repair-oven-repair/),21,27,1,22.8
HIGH,appliance repair north hollywood,/hollywood/,/north-hollywood/,D,public/_redirects + astro.config.mjs (301 /north-hollywood/ → /hollywood/); delete src/pages/north-hollywood.astro,20,26,1,45.5
HIGH,los angeles fireplace repair,/outdoor/fireplace-repair/,/services/fireplace-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/fireplace-repair-los-angeles/ → /outdoor/fireplace-repair/); delete src/pages/[city]/[service].astro,20,26,1,27.0
HIGH,portable bbq repair,/outdoor/grill-repair/,/services/bbq-grill-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/outdoor/grill-repair/),20,26,1,24.4
HIGH,refrigerator repair pasadena,/pasadena/refrigerator-repair/,/pasadena/,A,src/pages/pasadena.astro (add canonical→/pasadena/refrigerator-repair/),20,26,1,37.5
HIGH,restaurant fryer repair,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,D,public/_redirects + astro.config.mjs (301 /services/commercial-fryer-machine-repair-los-angeles/ → /commercial/fryer-repair/); delete src/pages/[city]/[service].astro,20,26,1,74.8
HIGH,washing machine repair near me,/services/washer-repair/,/services/washing-machine-repair-los-angeles/,A,src/pages/[city]/[service].astro (add canonical→/services/washer-repair/),20,26,3,32.24
