severity,query,num_urls,total_impressions,total_clicks,avg_position,intended_url,actual_winner,is_misaligned,intended_imp,winner_imp,urls
CRITICAL,walk-in freezer repair near me,1,153,0,44.4,/services/refrigerator-repair/,/,True,0,153,/::imp=153::pos=44.4::clk=0
CRITICAL,dishwasher repair,9,152,0,23.83,/services/dishwasher-repair/,/pasadena/,True,0,39,/pasadena/::imp=39::pos=15.8::clk=0|/west-hollywood/::imp=31::pos=11.5::clk=0|/thousand-oaks/::imp=25::pos=19.2::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=15::pos=42.3::clk=0|/agoura-hills/::imp=13::pos=33.7::clk=0
CRITICAL,lg repair west hollywood,1,142,0,1.0,/brands/lg/,/west-hollywood/,True,0,142,/west-hollywood/::imp=142::pos=1.0::clk=0
CRITICAL,same day appliance repair topanga,10,134,0,58.42,/,/los-angeles/,True,0,25,/los-angeles/::imp=25::pos=14.7::clk=0|/contact/::imp=16::pos=61.6::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=15::pos=66.9::clk=0|/el-segundo/::imp=15::pos=67.0::clk=0|/los-angeles-county/::imp=15::pos=70.2::clk=0
CRITICAL,stove repair,5,112,0,25.21,/services/oven-repair/,/services/stove-repair-los-angeles/,True,0,48,/services/stove-repair-los-angeles/::imp=48::pos=10.9::clk=0|/services/stove-repair/::imp=32::pos=43.7::clk=0|/agoura-hills/::imp=14::pos=30.8::clk=0|/calabasas/::imp=13::pos=32.1::clk=0|/pasadena/::imp=5::pos=10.6::clk=0
CRITICAL,freezer repair cost,4,109,0,56.74,/price-list/refrigerator-repair-cost/,/price-list/freezer-repair-cost/,True,17,39,/price-list/freezer-repair-cost/::imp=39::pos=58.7::clk=0|/price-list/commercial-walk-in-freezer-repair-cost/::imp=37::pos=34.0::clk=0|/price-list/refrigerator-repair-cost/::imp=17::pos=76.2::clk=0|/price-list/commercial-freezer-repair-cost/::imp=16::pos=83.9::clk=0
LOW,appliance repair thousand oaks ca,1,103,0,7.1,/thousand-oaks/,/thousand-oaks/,False,103,103,/thousand-oaks/::imp=103::pos=7.1::clk=0
CRITICAL,washing machine repair,3,101,0,2.78,/services/washer-repair/,/west-hollywood/,True,0,62,/west-hollywood/::imp=62::pos=1.0::clk=0|/los-angeles/::imp=32::pos=3.4::clk=0|/thousand-oaks/::imp=7::pos=15.7::clk=0
CRITICAL,appliance repair,8,100,0,16.78,/,/pasadena/,True,0,39,/pasadena/::imp=39::pos=18.2::clk=0|/west-hollywood/::imp=16::pos=12.9::clk=0|/upland/::imp=14::pos=17.8::clk=0|/beverly-hills/::imp=7::pos=15.4::clk=0|/los-angeles/::imp=7::pos=15.1::clk=0
MEDIUM,appliance repair downtown los angeles,5,100,0,37.49,/los-angeles/,/los-angeles/,False,38,38,/los-angeles/::imp=38::pos=31.1::clk=0|/areas/downtown-los-angeles/::imp=27::pos=15.2::clk=0|/west-hollywood/::imp=16::pos=64.8::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=10::pos=56.1::clk=0|/los-angeles-county/::imp=9::pos=62.1::clk=0
CRITICAL,wine fridge repair cost,2,81,0,22.49,/price-list/refrigerator-repair-cost/,/price-list/wine-cooler-repair-cost/,True,0,46,/price-list/wine-cooler-repair-cost/::imp=46::pos=11.0::clk=0|/price-list/commercial-wine-cooler-repair-cost/::imp=35::pos=37.6::clk=0
MEDIUM,lg appliance repair,2,78,0,54.42,/brands/lg/,/brands/lg/,False,73,73,/brands/lg/::imp=73::pos=56.3::clk=0|/west-hollywood/::imp=5::pos=27.0::clk=0
CRITICAL,appliance repair north hollywood ca,3,77,0,38.62,/hollywood/,/north-hollywood/,True,0,34,/north-hollywood/::imp=34::pos=32.1::clk=0|/west-hollywood/::imp=29::pos=38.2::clk=0|/los-angeles/::imp=14::pos=55.3::clk=0
CRITICAL,appliance repair service,2,76,0,1.53,/,/los-angeles/,True,0,47,/los-angeles/::imp=47::pos=1.0::clk=0|/west-hollywood/::imp=29::pos=2.4::clk=0
CRITICAL,washer repair,3,73,0,19.57,/services/washer-repair/,/pasadena/,True,0,32,/pasadena/::imp=32::pos=14.4::clk=0|/west-hollywood/::imp=27::pos=10.9::clk=0|/agoura-hills/::imp=14::pos=48.1::clk=0
CRITICAL,appliance repair oak park ca,2,72,0,7.8,/oak-park/,/thousand-oaks/,True,18,54,/thousand-oaks/::imp=54::pos=1.0::clk=0|/oak-park/::imp=18::pos=28.2::clk=0
CRITICAL,dryer repair near me,5,72,0,19.99,/services/dryer-repair/,/thousand-oaks/,True,0,30,/thousand-oaks/::imp=30::pos=1.0::clk=0|/pasadena/::imp=13::pos=15.9::clk=0|/riverside-county/::imp=13::pos=72.1::clk=0|/rancho-cucamonga/::imp=11::pos=18.4::clk=0|/west-hollywood/::imp=5::pos=12.6::clk=0
MEDIUM,same-day appliance repair,3,72,0,18.63,/,/,False,56,56,/::imp=56::pos=20.9::clk=0|/los-angeles/::imp=8::pos=15.4::clk=0|/west-hollywood/::imp=8::pos=6.0::clk=0
CRITICAL,steam oven repair,2,72,0,24.44,/services/oven-repair/,/services/wall-oven-repair/,True,19,53,/services/wall-oven-repair/::imp=53::pos=22.3::clk=0|/services/oven-repair/::imp=19::pos=30.4::clk=0
CRITICAL,slushi machine repair,4,71,0,25.47,/,/services/commercial-slushie-machine-repair-los-angeles/,True,0,31,/services/commercial-slushie-machine-repair-los-angeles/::imp=31::pos=30.6::clk=0|/price-list/commercial-slushie-machine-repair-cost/::imp=28::pos=17.8::clk=0|/commercial/ice-machines/::imp=7::pos=46.1::clk=0|/west-hollywood/::imp=5::pos=7.8::clk=0
CRITICAL,walk in refrigerator repair,1,71,0,46.4,/services/refrigerator-repair/,/,True,0,71,/::imp=71::pos=46.4::clk=0
CRITICAL,commercial fryer repair,2,70,0,62.31,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,True,15,55,/services/commercial-fryer-machine-repair-los-angeles/::imp=55::pos=59.1::clk=0|/commercial/fryer-repair/::imp=15::pos=74.1::clk=0
CRITICAL,same day stove repair oc,4,68,1,26.82,/services/oven-repair/,/book/,True,0,24,/book/::imp=24::pos=28.7::clk=1|/contact/::imp=23::pos=23.7::clk=0|/::imp=11::pos=15.6::clk=0|/los-angeles/::imp=10::pos=41.8::clk=0
LOW,garbage disposal repair,1,67,0,37.6,/services/garbage-disposal-repair/,/services/garbage-disposal-repair/,False,67,67,/services/garbage-disposal-repair/::imp=67::pos=37.6::clk=0
CRITICAL,refrigerator repair los angeles,4,66,0,38.56,/los-angeles/refrigerator-repair/,/services/refrigerator-repair/,True,0,28,/services/refrigerator-repair/::imp=28::pos=41.4::clk=0|/services/refrigerator-repair-los-angeles/::imp=20::pos=31.2::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=10::pos=50.2::clk=0|/los-angeles/::imp=8::pos=32.5::clk=0
CRITICAL,appliance repair santa monica ca,2,64,0,10.15,/santa-monica/,/los-angeles/,True,16,48,/los-angeles/::imp=48::pos=1.0::clk=0|/santa-monica/::imp=16::pos=37.6::clk=0
CRITICAL,appliance repair moorpark ca,2,61,0,11.14,/moorpark/,/thousand-oaks/,True,19,42,/thousand-oaks/::imp=42::pos=1.2::clk=0|/moorpark/::imp=19::pos=33.1::clk=0
MEDIUM,commercial washer repair,2,60,0,52.73,/commercial/washer-repair/,/commercial/washer-repair/,False,33,33,/commercial/washer-repair/::imp=33::pos=62.9::clk=0|/commercial/laundry-repair/::imp=27::pos=40.3::clk=0
MEDIUM,dishwasher service,4,60,0,38.7,/services/dishwasher-repair/,/services/dishwasher-repair/,False,19,19,/services/dishwasher-repair/::imp=19::pos=52.2::clk=0|/agoura-hills/::imp=15::pos=34.1::clk=0|/calabasas/::imp=14::pos=42.2::clk=0|/thousand-oaks/::imp=12::pos=19.0::clk=0
MEDIUM,appliance repair ventura ca,2,59,0,62.44,/ventura/,/ventura/,False,30,30,/ventura/::imp=30::pos=55.8::clk=0|/ventura-county/::imp=29::pos=69.3::clk=0
LOW,appliance repair pasadena ca,1,58,0,33.4,/pasadena/,/pasadena/,False,58,58,/pasadena/::imp=58::pos=33.4::clk=0
CRITICAL,electric wall heater repair,1,55,0,43.9,/,/services/wall-heater-repair-los-angeles/,True,0,55,/services/wall-heater-repair-los-angeles/::imp=55::pos=43.9::clk=0
CRITICAL,outdoor grill repair,2,55,0,56.01,/outdoor/grill-repair/,/services/bbq-grill-repair-los-angeles/,True,0,37,/services/bbq-grill-repair-los-angeles/::imp=37::pos=47.4::clk=0|/services/bbq-grill-repair/::imp=18::pos=73.7::clk=0
CRITICAL,range service,3,55,0,34.7,/services/oven-repair/,/services/range-repair-los-angeles/,True,0,41,/services/range-repair-los-angeles/::imp=41::pos=34.4::clk=0|/west-hollywood/range-repair/::imp=9::pos=43.8::clk=0|/agoura-hills/::imp=5::pos=20.8::clk=0
LOW,appliance repair burbank,1,54,0,56.9,/burbank/,/burbank/,False,54,54,/burbank/::imp=54::pos=56.9::clk=0
CRITICAL,commercial slushie machine repair,3,54,0,22.63,/,/price-list/commercial-slushie-machine-repair-cost/,True,0,29,/price-list/commercial-slushie-machine-repair-cost/::imp=29::pos=17.2::clk=0|/services/commercial-slushie-machine-repair-los-angeles/::imp=18::pos=24.4::clk=0|/commercial/ice-machines/::imp=7::pos=40.6::clk=0
CRITICAL,repair deep fryer,2,54,0,62.24,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,True,11,43,/services/commercial-fryer-machine-repair-los-angeles/::imp=43::pos=58.8::clk=0|/commercial/fryer-repair/::imp=11::pos=75.7::clk=0
CRITICAL,same day service,3,54,0,16.82,/,/book/,True,0,40,/book/::imp=40::pos=21.9::clk=0|/los-angeles/::imp=7::pos=1.3::clk=0|/west-hollywood/::imp=7::pos=3.3::clk=0
MEDIUM,appliance repair hollywood ca,2,52,0,22.74,/hollywood/,/hollywood/,False,32,32,/hollywood/::imp=32::pos=21.7::clk=0|/west-hollywood/::imp=20::pos=24.4::clk=0
LOW,trash compactor repair,1,49,0,55.7,/services/trash-compactor-repair/,/services/trash-compactor-repair/,False,49,49,/services/trash-compactor-repair/::imp=49::pos=55.7::clk=0
HIGH,emergency ammonia refrigeration repair california,3,48,0,58.6,/,/commercial/refrigeration/,True,0,24,/commercial/refrigeration/::imp=24::pos=53.1::clk=0|/commercial/refrigerator-repair/::imp=13::pos=57.6::clk=0|/services/outdoor-refrigerator-repair/::imp=11::pos=71.8::clk=0
HIGH,fridge repair near me,7,48,0,18.61,/services/refrigerator-repair/,/pasadena/,True,0,16,/pasadena/::imp=16::pos=12.4::clk=0|/anaheim/::imp=7::pos=18.1::clk=0|/chino-hills/::imp=5::pos=36.8::clk=0|/hemet/::imp=5::pos=16.6::clk=0|/redlands/::imp=5::pos=17.6::clk=0
HIGH,range repair,4,48,0,34.18,/services/oven-repair/,/agoura-hills/,True,0,16,/agoura-hills/::imp=16::pos=35.2::clk=0|/services/range-repair-los-angeles/::imp=14::pos=33.3::clk=0|/calabasas/::imp=13::pos=42.1::clk=0|/beverly-hills/::imp=5::pos=12.8::clk=0
HIGH,appliance repair marina del rey ca,2,47,0,9.67,/marina-del-rey/,/los-angeles/,True,20,27,/los-angeles/::imp=27::pos=3.2::clk=0|/marina-del-rey/::imp=20::pos=18.4::clk=0
HIGH,appliance repair west los angeles,2,46,0,13.61,/los-angeles/,/west-hollywood/,True,16,30,/west-hollywood/::imp=30::pos=19.7::clk=0|/los-angeles/::imp=16::pos=2.2::clk=0
HIGH,lg washer repair,1,46,0,74.7,/brands/lg-washer-repair-washer-repair/,/brands/lg/,True,0,46,/brands/lg/::imp=46::pos=74.7::clk=0
HIGH,commercial deep fryer repair,2,45,0,63.2,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,True,9,36,/services/commercial-fryer-machine-repair-los-angeles/::imp=36::pos=59.4::clk=0|/commercial/fryer-repair/::imp=9::pos=78.4::clk=0
HIGH,commercial pizza oven repair,1,45,0,77.1,/outdoor/pizza-oven-repair/,/commercial/pizza-oven-repair/,True,0,45,/commercial/pizza-oven-repair/::imp=45::pos=77.1::clk=0
LOW,dishwasher repair cost,1,45,0,39.9,/price-list/dishwasher-repair-cost/,/price-list/dishwasher-repair-cost/,False,45,45,/price-list/dishwasher-repair-cost/::imp=45::pos=39.9::clk=0
HIGH,emergency refrigerator repair,4,45,0,22.58,/services/refrigerator-repair/,/west-hollywood/,True,0,15,/west-hollywood/::imp=15::pos=9.6::clk=0|/beverly-hills/::imp=13::pos=24.6::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=11::pos=30.3::clk=0|/los-angeles/::imp=6::pos=36.5::clk=0
LOW,appliance repair burbank ca,1,44,0,51.8,/burbank/,/burbank/,False,44,44,/burbank/::imp=44::pos=51.8::clk=0
HIGH,appliance repair venice ca,1,44,0,19.6,/,/los-angeles/,True,0,44,/los-angeles/::imp=44::pos=19.6::clk=0
HIGH,commercial gas fryer repair,2,44,0,77.45,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,True,19,25,/services/commercial-fryer-machine-repair-los-angeles/::imp=25::pos=72.7::clk=0|/commercial/fryer-repair/::imp=19::pos=83.7::clk=0
LOW,cost to fix garbage disposal,1,44,0,46.0,/price-list/garbage-disposal-repair-cost/,/price-list/garbage-disposal-repair-cost/,False,44,44,/price-list/garbage-disposal-repair-cost/::imp=44::pos=46.0::clk=0
LOW,appliance repair pasadena,1,43,0,44.3,/pasadena/,/pasadena/,False,43,43,/pasadena/::imp=43::pos=44.3::clk=0
HIGH,appliance repair west hollywood ca,1,43,0,2.0,/hollywood/,/west-hollywood/,True,0,43,/west-hollywood/::imp=43::pos=2.0::clk=0
MEDIUM,dishwasher door spring repair cost,2,43,0,13.94,/price-list/dishwasher-repair-cost/,/price-list/dishwasher-repair-cost/,False,36,36,/price-list/dishwasher-repair-cost/::imp=36::pos=12.1::clk=0|/price-list/dishwasher-door-spring-repair-cost/::imp=7::pos=23.4::clk=0
HIGH,refrigirator repair service,2,43,0,1.0,/,/los-angeles/,True,0,29,/los-angeles/::imp=29::pos=1.0::clk=0|/west-hollywood/::imp=14::pos=1.0::clk=0
MEDIUM,wine cellar repair,2,43,0,52.44,/services/wine-cellar-cooling-repair/,/services/wine-cellar-cooling-repair/,False,25,25,/services/wine-cellar-cooling-repair/::imp=25::pos=77.6::clk=0|/services/wine-cooler-repair/::imp=18::pos=17.5::clk=0
HIGH,fireplace repair los angeles,1,42,0,22.5,/outdoor/fireplace-repair/,/services/fireplace-repair-los-angeles/,True,0,42,/services/fireplace-repair-los-angeles/::imp=42::pos=22.5::clk=0
HIGH,same day appliance repair orange county,3,42,0,23.34,/,/book/,True,15,18,/book/::imp=18::pos=43.6::clk=0|/::imp=15::pos=6.3::clk=0|/orange-county/::imp=9::pos=11.2::clk=0
HIGH,walk-in refrigerator repair,1,42,0,36.8,/services/refrigerator-repair/,/,True,0,42,/::imp=42::pos=36.8::clk=0
HIGH,ac service cost,1,41,0,72.5,/,/price-list/air-conditioner-repair-cost/,True,0,41,/price-list/air-conditioner-repair-cost/::imp=41::pos=72.5::clk=0
HIGH,appliance repair simi valley ca,2,41,0,8.68,/simi-valley/,/thousand-oaks/,True,5,36,/thousand-oaks/::imp=36::pos=1.3::clk=0|/simi-valley/::imp=5::pos=61.8::clk=0
HIGH,refrigirator repair,2,41,0,1.0,/,/los-angeles/,True,0,30,/los-angeles/::imp=30::pos=1.0::clk=0|/west-hollywood/::imp=11::pos=1.0::clk=0
HIGH,wine cellar cooling unit repair los angeles,5,41,0,33.4,/los-angeles/wine-cellar-cooling-repair/,/price-list/wine-cellar-repair-cost/,True,0,16,/price-list/wine-cellar-repair-cost/::imp=16::pos=11.2::clk=0|/services/wine-cooler-repair-los-angeles/::imp=8::pos=52.0::clk=0|/services/wine-cellar-repair-los-angeles/::imp=7::pos=26.9::clk=0|/services/wine-cellar-cooling-repair/::imp=5::pos=70.6::clk=0|/services/wine-cellar-repair/::imp=5::pos=46.6::clk=0
HIGH,24 hour industrial refrigeration service california,2,40,0,64.56,/,/services/outdoor-refrigerator-repair/,True,0,21,/services/outdoor-refrigerator-repair/::imp=21::pos=66.7::clk=0|/commercial/refrigeration/::imp=19::pos=62.2::clk=0
MEDIUM,microwave repair,2,40,0,47.49,/services/microwave-repair/,/services/microwave-repair/,False,34,34,/services/microwave-repair/::imp=34::pos=53.0::clk=0|/services/microwave-repair-los-angeles/::imp=6::pos=16.3::clk=0
MEDIUM,commercial washer and dryer repair,2,39,0,53.29,/commercial/washer-repair/,/commercial/washer-repair/,False,22,22,/commercial/washer-repair/::imp=22::pos=63.8::clk=0|/commercial/laundry-repair/::imp=17::pos=39.7::clk=0
HIGH,oven service,3,38,0,27.82,/services/oven-repair/,/agoura-hills/,True,0,15,/agoura-hills/::imp=15::pos=32.8::clk=0|/calabasas/::imp=14::pos=32.6::clk=0|/services/oven-repair-los-angeles/::imp=9::pos=12.1::clk=0
HIGH,thermador repair,2,38,0,1.0,/brands/thermador/,/west-hollywood/,True,0,26,/west-hollywood/::imp=26::pos=1.0::clk=0|/los-angeles/::imp=12::pos=1.0::clk=0
HIGH,ac repair cost,1,37,0,68.0,/,/price-list/air-conditioner-repair-cost/,True,0,37,/price-list/air-conditioner-repair-cost/::imp=37::pos=68.0::clk=0
LOW,appliance repair calabasas,1,37,0,58.1,/calabasas/,/calabasas/,False,37,37,/calabasas/::imp=37::pos=58.1::clk=0
LOW,appliance repair woodland hills ca,1,37,0,58.6,/woodland-hills/,/woodland-hills/,False,37,37,/woodland-hills/::imp=37::pos=58.6::clk=0
HIGH,dryer repair pasadena,1,37,0,45.0,/pasadena/dryer-repair/,/pasadena/,True,0,37,/pasadena/::imp=37::pos=45.0::clk=0
HIGH,fireplace repair cost,1,37,0,18.6,/outdoor/fireplace-repair/,/price-list/fireplace-repair-cost/,True,0,37,/price-list/fireplace-repair-cost/::imp=37::pos=18.6::clk=0
HIGH,refrigerator repair los angeles ca,3,37,0,62.82,/los-angeles/refrigerator-repair/,/los-angeles/,True,0,17,/los-angeles/::imp=17::pos=48.7::clk=0|/services/refrigerator-repair/::imp=15::pos=80.3::clk=0|/services/refrigerator-repair-los-angeles/::imp=5::pos=58.4::clk=0
HIGH,wine cooler repair,2,37,0,42.68,/services/wine-cooler-repair/,/services/wine-cooler-repair-los-angeles/,True,14,23,/services/wine-cooler-repair-los-angeles/::imp=23::pos=59.9::clk=0|/services/wine-cooler-repair/::imp=14::pos=14.4::clk=0
HIGH,lg dishwasher repair,1,36,0,51.1,/brands/lg-dishwasher-repair-dishwasher-repair/,/brands/lg/,True,0,36,/brands/lg/::imp=36::pos=51.1::clk=0
LOW,refrigerator repair cost,1,36,0,69.7,/price-list/refrigerator-repair-cost/,/price-list/refrigerator-repair-cost/,False,36,36,/price-list/refrigerator-repair-cost/::imp=36::pos=69.7::clk=0
HIGH,wine guardian repair los angeles,4,36,0,12.87,/brands/wine-guardian-repair/,/services/wine-cellar-repair-los-angeles/,True,5,15,/services/wine-cellar-repair-los-angeles/::imp=15::pos=14.3::clk=0|/services/wine-cellar-repair/::imp=10::pos=10.8::clk=0|/price-list/wine-cellar-repair-cost/::imp=6::pos=12.3::clk=0|/brands/wine-guardian-repair/::imp=5::pos=13.4::clk=0
LOW,appliance repair studio city,1,35,0,54.6,/studio-city/,/studio-city/,False,35,35,/studio-city/::imp=35::pos=54.6::clk=0
HIGH,fryer repair,1,35,0,51.2,/commercial/fryer-repair/,/services/commercial-fryer-machine-repair-los-angeles/,True,0,35,/services/commercial-fryer-machine-repair-los-angeles/::imp=35::pos=51.2::clk=0
HIGH,woodland hills stove repair,1,35,0,68.8,/woodland-hills/oven-repair/,/woodland-hills/,True,0,35,/woodland-hills/::imp=35::pos=68.8::clk=0
LOW,appliance repair thousand oaks,1,34,1,18.7,/thousand-oaks/,/thousand-oaks/,False,34,34,/thousand-oaks/::imp=34::pos=18.7::clk=1
HIGH,cellarpro repair los angeles,3,34,0,11.44,/brands/cellarpro/,/services/wine-cellar-repair/,True,0,21,/services/wine-cellar-repair/::imp=21::pos=11.6::clk=0|/services/wine-cellar-repair-los-angeles/::imp=7::pos=14.6::clk=0|/los-angeles/::imp=6::pos=7.2::clk=0
HIGH,dryer repair burbank,1,34,0,61.9,/burbank/dryer-repair/,/burbank/,True,0,34,/burbank/::imp=34::pos=61.9::clk=0
LOW,highland park appliance repair,1,34,0,40.1,/highland-park/,/highland-park/,False,34,34,/highland-park/::imp=34::pos=40.1::clk=0
HIGH,outdoor kitchen repair,2,34,0,26.0,/outdoor/outdoor-kitchen-repair/,/outdoor/,True,0,17,/outdoor/::imp=17::pos=37.1::clk=0|/services/bbq-grill-repair-los-angeles/::imp=17::pos=14.9::clk=0
HIGH,appliance repair san bernardino ca,2,33,0,54.69,/san-bernardino/,/san-bernardino-county/,True,16,17,/san-bernardino-county/::imp=17::pos=51.2::clk=0|/san-bernardino/::imp=16::pos=58.4::clk=0
HIGH,commercial laundry machine repair,3,33,0,73.38,/,/commercial/laundry-repair/,True,0,12,/commercial/laundry-repair/::imp=12::pos=83.9::clk=0|/services/commercial-laundry-machine-repair-los-angeles/::imp=11::pos=54.7::clk=0|/commercial/washer-repair/::imp=10::pos=81.3::clk=0
LOW,ice maker repair,1,33,0,20.3,/services/ice-maker-repair/,/services/ice-maker-repair/,False,33,33,/services/ice-maker-repair/::imp=33::pos=20.3::clk=0
HIGH,walk in freezer repair,1,33,0,36.6,/services/refrigerator-repair/,/,True,0,33,/::imp=33::pos=36.6::clk=0
HIGH,walk-in cooler repair near me,1,33,0,63.0,/commercial/walk-in-cooler-repair/,/,True,0,33,/::imp=33::pos=63.0::clk=0
LOW,appliance repair highland park,1,32,0,37.0,/highland-park/,/highland-park/,False,32,32,/highland-park/::imp=32::pos=37.0::clk=0
HIGH,appliance repair los angeles,2,32,0,43.68,/los-angeles/,/areas/los-angeles-and-surrounding-areas/,True,7,25,/areas/los-angeles-and-surrounding-areas/::imp=25::pos=51.6::clk=0|/los-angeles/::imp=7::pos=15.4::clk=0
HIGH,appliance repair ventura,2,32,0,65.9,/ventura/,/ventura-county/,True,16,16,/ventura-county/::imp=16::pos=72.8::clk=0|/ventura/::imp=16::pos=59.0::clk=0
HIGH,dishwasher repair near me,1,32,1,1.0,/services/dishwasher-repair/,/thousand-oaks/,True,0,32,/thousand-oaks/::imp=32::pos=1.0::clk=1
HIGH,lg refrigerator repair,2,32,0,65.97,/brands/lg-refrigerator-repair-refrigerator-repair/,/brands/lg/,True,0,27,/brands/lg/::imp=27::pos=70.6::clk=0|/los-angeles/::imp=5::pos=41.0::clk=0
HIGH,refrigerator repair monterey,1,32,0,45.4,/services/refrigerator-repair/,/monterey-park/,True,0,32,/monterey-park/::imp=32::pos=45.4::clk=0
HIGH,same-day appliance repair reviews,1,32,0,5.0,/,/reviews-page/,True,0,32,/reviews-page/::imp=32::pos=5.0::clk=0
HIGH,walk in wine cellar repair,2,32,0,20.53,/services/wine-cellar-cooling-repair/,/services/wine-cellar-repair-los-angeles/,True,0,17,/services/wine-cellar-repair-los-angeles/::imp=17::pos=24.8::clk=0|/services/wine-cooler-repair/::imp=15::pos=15.7::clk=0
HIGH,bull outdoor refrigerator repair,2,31,0,40.46,/outdoor/outdoor-refrigerator-repair/,/services/outdoor-refrigerator-repair/,True,0,16,/services/outdoor-refrigerator-repair/::imp=16::pos=25.8::clk=0|/outdoor/::imp=15::pos=56.1::clk=0
LOW,fridge repair cost,1,31,0,75.0,/price-list/refrigerator-repair-cost/,/price-list/refrigerator-repair-cost/,False,31,31,/price-list/refrigerator-repair-cost/::imp=31::pos=75.0::clk=0
HIGH,ice maker repair near me,4,31,0,15.36,/services/ice-maker-repair/,/anaheim/,True,0,10,/anaheim/::imp=10::pos=14.0::clk=0|/rancho-cucamonga/::imp=10::pos=16.0::clk=0|/san-bernardino-county/::imp=6::pos=17.2::clk=0|/san-bernardino/::imp=5::pos=14.6::clk=0
HIGH,walk in cooler repair,1,31,0,27.7,/commercial/walk-in-cooler-repair/,/,True,0,31,/::imp=31::pos=27.7::clk=0
HIGH,wall heater repair,1,31,0,59.4,/,/services/wall-heater-repair-los-angeles/,True,0,31,/services/wall-heater-repair-los-angeles/::imp=31::pos=59.4::clk=0
MEDIUM,appliance repair south pasadena,2,30,0,39.3,/pasadena/,/pasadena/,False,15,15,/pasadena/::imp=15::pos=49.6::clk=0|/south-pasadena/::imp=15::pos=29.0::clk=0
