severity,query,num_urls,total_impressions,total_clicks,avg_position,intended_url,actual_winner,is_misaligned,intended_imp,winner_imp,urls
CRITICAL,refrigerator repair near me,5,88,0,3.62,/services/refrigerator-repair/,/west-hollywood/,True,0,46,/west-hollywood/::imp=46::pos=1.0::clk=0|/los-angeles/::imp=18::pos=3.2::clk=0|/pasadena/::imp=9::pos=12.2::clk=0|/thousand-oaks/::imp=8::pos=1.0::clk=0|/redlands/::imp=7::pos=13.9::clk=0
CRITICAL,oven repair,6,68,0,13.53,/services/oven-repair/,/pasadena/,True,0,17,/pasadena/::imp=17::pos=14.0::clk=0|/los-angeles/::imp=16::pos=1.0::clk=0|/west-hollywood/::imp=13::pos=9.1::clk=0|/beverly-hills/::imp=8::pos=14.4::clk=0|/agoura-hills/::imp=7::pos=37.9::clk=0
LOW,lg appliance repair,1,67,0,59.4,/brands/lg/,/brands/lg/,False,67,67,/brands/lg/::imp=67::pos=59.4::clk=0
CRITICAL,refrigerator repair,6,66,0,18.02,/services/refrigerator-repair/,/west-hollywood/,True,0,29,/west-hollywood/::imp=29::pos=4.5::clk=0|/brentwood/::imp=9::pos=37.8::clk=0|/agoura-hills/::imp=8::pos=39.1::clk=0|/pasadena/::imp=8::pos=15.6::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=7::pos=39.4::clk=0
CRITICAL,steam oven repair,2,58,0,23.59,/services/oven-repair/,/services/wall-oven-repair/,True,13,45,/services/wall-oven-repair/::imp=45::pos=21.6::clk=0|/services/oven-repair/::imp=13::pos=30.5::clk=0
CRITICAL,dishwasher repair,6,55,0,21.91,/services/dishwasher-repair/,/pasadena/,True,0,16,/pasadena/::imp=16::pos=16.8::clk=0|/west-hollywood/::imp=11::pos=11.6::clk=0|/thousand-oaks/::imp=9::pos=19.1::clk=0|/agoura-hills/::imp=7::pos=28.7::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=6::pos=41.8::clk=0
HIGH,freezer repair cost,3,54,0,55.17,/price-list/refrigerator-repair-cost/,/price-list/commercial-walk-in-freezer-repair-cost/,True,15,20,/price-list/commercial-walk-in-freezer-repair-cost/::imp=20::pos=31.7::clk=0|/price-list/freezer-repair-cost/::imp=19::pos=62.4::clk=0|/price-list/refrigerator-repair-cost/::imp=15::pos=77.3::clk=0
CRITICAL,washing machine repair,2,54,0,1.0,/services/washer-repair/,/west-hollywood/,True,0,38,/west-hollywood/::imp=38::pos=1.0::clk=0|/los-angeles/::imp=16::pos=1.0::clk=0
CRITICAL,lg washer repair,1,46,0,76.7,/brands/lg-washer-repair-washer-repair/,/brands/lg/,True,0,46,/brands/lg/::imp=46::pos=76.7::clk=0
CRITICAL,electric wall heater repair,1,45,0,44.5,/,/services/wall-heater-repair-los-angeles/,True,0,45,/services/wall-heater-repair-los-angeles/::imp=45::pos=44.5::clk=0
CRITICAL,emergency ammonia refrigeration repair california,3,45,0,58.34,/,/commercial/refrigeration/,True,0,22,/commercial/refrigeration/::imp=22::pos=51.8::clk=0|/commercial/refrigerator-repair/::imp=12::pos=58.0::clk=0|/services/outdoor-refrigerator-repair/::imp=11::pos=71.8::clk=0
CRITICAL,appliance repair oak park ca,2,44,0,8.58,/oak-park/,/thousand-oaks/,True,12,32,/thousand-oaks/::imp=32::pos=1.0::clk=0|/oak-park/::imp=12::pos=28.8::clk=0
LOW,trash compactor repair,1,44,0,53.0,/services/trash-compactor-repair/,/services/trash-compactor-repair/,False,44,44,/services/trash-compactor-repair/::imp=44::pos=53.0::clk=0
MEDIUM,appliance repair downtown los angeles,4,42,0,41.8,/los-angeles/,/los-angeles/,False,21,21,/los-angeles/::imp=21::pos=25.1::clk=0|/los-angeles-county/::imp=8::pos=62.0::clk=0|/west-hollywood/::imp=7::pos=66.7::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=6::pos=44.3::clk=0
CRITICAL,24 hour industrial refrigeration service california,2,41,0,64.42,/,/commercial/refrigeration/,True,0,21,/commercial/refrigeration/::imp=21::pos=61.2::clk=0|/services/outdoor-refrigerator-repair/::imp=20::pos=67.8::clk=0
CRITICAL,appliance repair,4,41,0,16.73,/,/pasadena/,True,0,22,/pasadena/::imp=22::pos=18.1::clk=0|/upland/::imp=7::pos=18.0::clk=0|/west-hollywood/::imp=7::pos=10.4::clk=0|/westlake-village/::imp=5::pos=17.8::clk=0
LOW,appliance repair thousand oaks ca,1,41,0,2.0,/thousand-oaks/,/thousand-oaks/,False,41,41,/thousand-oaks/::imp=41::pos=2.0::clk=0
CRITICAL,appliance repair service,2,40,0,2.02,/,/los-angeles/,True,0,23,/los-angeles/::imp=23::pos=1.0::clk=0|/west-hollywood/::imp=17::pos=3.4::clk=0
CRITICAL,walk in refrigerator repair,1,39,0,43.8,/services/refrigerator-repair/,/,True,0,39,/::imp=39::pos=43.8::clk=0
CRITICAL,same day service,1,37,0,21.6,/,/book/,True,0,37,/book/::imp=37::pos=21.6::clk=0
CRITICAL,slushi machine repair,3,37,0,31.63,/,/price-list/commercial-slushie-machine-repair-cost/,True,0,15,/price-list/commercial-slushie-machine-repair-cost/::imp=15::pos=16.7::clk=0|/services/commercial-slushie-machine-repair-los-angeles/::imp=15::pos=39.8::clk=0|/commercial/ice-machines/::imp=7::pos=46.1::clk=0
CRITICAL,stove repair,3,37,0,35.85,/services/oven-repair/,/services/stove-repair/,True,0,23,/services/stove-repair/::imp=23::pos=39.1::clk=0|/agoura-hills/::imp=7::pos=32.4::clk=0|/calabasas/::imp=7::pos=28.6::clk=0
CRITICAL,wine fridge repair cost,2,37,0,20.5,/price-list/refrigerator-repair-cost/,/price-list/wine-cooler-repair-cost/,True,0,21,/price-list/wine-cooler-repair-cost/::imp=21::pos=10.9::clk=0|/price-list/commercial-wine-cooler-repair-cost/::imp=16::pos=33.1::clk=0
CRITICAL,refrigerator repair los angeles,4,36,0,38.02,/los-angeles/refrigerator-repair/,/services/refrigerator-repair/,True,0,19,/services/refrigerator-repair/::imp=19::pos=37.6::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=6::pos=51.2::clk=0|/services/refrigerator-repair-los-angeles/::imp=6::pos=29.0::clk=0|/los-angeles/::imp=5::pos=34.6::clk=0
MEDIUM,wine cellar repair,2,36,0,59.14,/services/wine-cellar-cooling-repair/,/services/wine-cellar-cooling-repair/,False,25,25,/services/wine-cellar-cooling-repair/::imp=25::pos=77.6::clk=0|/services/wine-cooler-repair/::imp=11::pos=17.2::clk=0
MEDIUM,commercial washer repair,2,35,0,56.7,/commercial/washer-repair/,/commercial/washer-repair/,False,21,21,/commercial/washer-repair/::imp=21::pos=71.5::clk=0|/commercial/laundry-repair/::imp=14::pos=34.5::clk=0
CRITICAL,outdoor grill repair,2,35,0,53.13,/outdoor/grill-repair/,/services/bbq-grill-repair-los-angeles/,True,0,22,/services/bbq-grill-repair-los-angeles/::imp=22::pos=42.1::clk=0|/services/bbq-grill-repair/::imp=13::pos=71.8::clk=0
LOW,appliance repair pasadena ca,1,34,0,36.6,/pasadena/,/pasadena/,False,34,34,/pasadena/::imp=34::pos=36.6::clk=0
CRITICAL,commercial pizza oven repair,1,33,0,74.6,/outdoor/pizza-oven-repair/,/commercial/pizza-oven-repair/,True,0,33,/commercial/pizza-oven-repair/::imp=33::pos=74.6::clk=0
CRITICAL,lg dishwasher repair,1,33,0,50.9,/brands/lg-dishwasher-repair-dishwasher-repair/,/brands/lg/,True,0,33,/brands/lg/::imp=33::pos=50.9::clk=0
MEDIUM,dishwasher service,4,32,0,39.49,/services/dishwasher-repair/,/services/dishwasher-repair/,False,12,12,/services/dishwasher-repair/::imp=12::pos=52.1::clk=0|/calabasas/::imp=8::pos=35.9::clk=0|/agoura-hills/::imp=7::pos=34.6::clk=0|/thousand-oaks/::imp=5::pos=21.8::clk=0
CRITICAL,dryer repair near me,4,32,0,34.19,/services/dryer-repair/,/riverside-county/,True,0,12,/riverside-county/::imp=12::pos=75.2::clk=0|/thousand-oaks/::imp=9::pos=1.0::clk=0|/pasadena/::imp=6::pos=15.8::clk=0|/rancho-cucamonga/::imp=5::pos=17.6::clk=0
CRITICAL,washer repair,3,32,0,18.33,/services/washer-repair/,/pasadena/,True,0,16,/pasadena/::imp=16::pos=14.6::clk=0|/west-hollywood/::imp=9::pos=10.9::clk=0|/agoura-hills/::imp=7::pos=36.4::clk=0
CRITICAL,appliance repair north hollywood ca,2,31,0,36.84,/hollywood/,/north-hollywood/,True,0,16,/north-hollywood/::imp=16::pos=37.9::clk=0|/west-hollywood/::imp=15::pos=35.7::clk=0
LOW,garbage disposal repair,1,31,0,41.6,/services/garbage-disposal-repair/,/services/garbage-disposal-repair/,False,31,31,/services/garbage-disposal-repair/::imp=31::pos=41.6::clk=0
MEDIUM,appliance repair santa monica ca,2,29,0,21.19,/santa-monica/,/santa-monica/,False,16,16,/santa-monica/::imp=16::pos=37.6::clk=0|/los-angeles/::imp=13::pos=1.0::clk=0
MEDIUM,appliance repair ventura ca,2,29,0,52.71,/ventura/,/ventura/,False,15,15,/ventura/::imp=15::pos=48.9::clk=0|/ventura-county/::imp=14::pos=56.8::clk=0
CRITICAL,combi oven repair,2,29,0,19.58,/commercial/combi-oven-repair/,/services/wall-oven-repair/,True,0,17,/services/wall-oven-repair/::imp=17::pos=20.9::clk=0|/commercial/oven-repair/combi-oven-repair/::imp=12::pos=17.7::clk=0
CRITICAL,appliance repair moorpark ca,2,27,0,11.07,/moorpark/,/thousand-oaks/,True,8,19,/thousand-oaks/::imp=19::pos=1.0::clk=0|/moorpark/::imp=8::pos=35.0::clk=0
CRITICAL,appliance repair west los angeles,2,27,0,16.12,/los-angeles/,/west-hollywood/,True,7,20,/west-hollywood/::imp=20::pos=20.4::clk=0|/los-angeles/::imp=7::pos=3.9::clk=0
CRITICAL,portable bbq repair,1,27,0,24.4,/outdoor/grill-repair/,/services/bbq-grill-repair-los-angeles/,True,0,27,/services/bbq-grill-repair-los-angeles/::imp=27::pos=24.4::clk=0
CRITICAL,walk-in cooler repair near me,1,27,0,60.0,/commercial/walk-in-cooler-repair/,/,True,0,27,/::imp=27::pos=60.0::clk=0
CRITICAL,walk-in refrigerator repair,1,27,0,38.9,/services/refrigerator-repair/,/,True,0,27,/::imp=27::pos=38.9::clk=0
LOW,appliance repair burbank,1,26,0,50.8,/burbank/,/burbank/,False,26,26,/burbank/::imp=26::pos=50.8::clk=0
CRITICAL,commercial holding cabinet repair,1,26,0,19.1,/,/commercial/holding-cabinet-repair/,True,0,26,/commercial/holding-cabinet-repair/::imp=26::pos=19.1::clk=0
CRITICAL,commercial slushie machine repair,2,26,0,21.6,/,/price-list/commercial-slushie-machine-repair-cost/,True,0,19,/price-list/commercial-slushie-machine-repair-cost/::imp=19::pos=14.6::clk=0|/commercial/ice-machines/::imp=7::pos=40.6::clk=0
CRITICAL,wine cooler repair,2,26,0,54.8,/services/wine-cooler-repair/,/services/wine-cooler-repair-los-angeles/,True,6,20,/services/wine-cooler-repair-los-angeles/::imp=20::pos=66.8::clk=0|/services/wine-cooler-repair/::imp=6::pos=14.8::clk=0
LOW,appliance repair burbank ca,1,25,0,46.0,/burbank/,/burbank/,False,25,25,/burbank/::imp=25::pos=46.0::clk=0
MEDIUM,commercial washer and dryer repair,2,25,0,55.02,/commercial/washer-repair/,/commercial/washer-repair/,False,15,15,/commercial/washer-repair/::imp=15::pos=71.9::clk=0|/commercial/laundry-repair/::imp=10::pos=29.7::clk=0
LOW,dishwasher repair cost,1,25,0,39.6,/price-list/dishwasher-repair-cost/,/price-list/dishwasher-repair-cost/,False,25,25,/price-list/dishwasher-repair-cost/::imp=25::pos=39.6::clk=0
HIGH,ac service cost,1,24,0,81.0,/,/price-list/air-conditioner-repair-cost/,True,0,24,/price-list/air-conditioner-repair-cost/::imp=24::pos=81.0::clk=0
MEDIUM,appliance repair hollywood ca,2,24,0,19.09,/hollywood/,/hollywood/,False,19,19,/hollywood/::imp=19::pos=22.8::clk=0|/west-hollywood/::imp=5::pos=5.0::clk=0
MEDIUM,appliance repair marina del rey ca,2,24,0,9.02,/marina-del-rey/,/marina-del-rey/,False,13,13,/marina-del-rey/::imp=13::pos=15.8::clk=0|/los-angeles/::imp=11::pos=1.0::clk=0
LOW,appliance repair pasadena,1,24,0,45.0,/pasadena/,/pasadena/,False,24,24,/pasadena/::imp=24::pos=45.0::clk=0
HIGH,dacor appliance repair,1,24,0,1.0,/brands/dacor/,/west-hollywood/,True,0,24,/west-hollywood/::imp=24::pos=1.0::clk=0
HIGH,fireplace repair cost,1,24,0,18.9,/outdoor/fireplace-repair/,/price-list/fireplace-repair-cost/,True,0,24,/price-list/fireplace-repair-cost/::imp=24::pos=18.9::clk=0
HIGH,lg refrigerator repair,1,24,0,75.4,/brands/lg-refrigerator-repair-refrigerator-repair/,/brands/lg/,True,0,24,/brands/lg/::imp=24::pos=75.4::clk=0
HIGH,refrigirator repair service,2,24,0,1.0,/,/los-angeles/,True,0,15,/los-angeles/::imp=15::pos=1.0::clk=0|/west-hollywood/::imp=9::pos=1.0::clk=0
LOW,ac repair service in redlands,1,23,0,75.0,/redlands/,/redlands/,False,23,23,/redlands/::imp=23::pos=75.0::clk=0
LOW,commercial steamer repair,1,23,0,65.0,/commercial/steamer-repair/,/commercial/steamer-repair/,False,23,23,/commercial/steamer-repair/::imp=23::pos=65.0::clk=0
LOW,range hood repair,1,23,0,71.6,/services/range-hood-repair/,/services/range-hood-repair/,False,23,23,/services/range-hood-repair/::imp=23::pos=71.6::clk=0
HIGH,same day stove repair oc,2,23,1,25.61,/services/oven-repair/,/contact/,True,0,12,/contact/::imp=12::pos=21.5::clk=0|/book/::imp=11::pos=30.1::clk=1
LOW,same-day appliance repair,1,23,0,11.6,/,/,False,23,23,/::imp=23::pos=11.6::clk=0
LOW,appliance repair calabasas,1,22,0,56.0,/calabasas/,/calabasas/,False,22,22,/calabasas/::imp=22::pos=56.0::clk=0
HIGH,emergency industrial refrigeration repair california,1,22,0,65.5,/,/commercial/refrigeration/,True,0,22,/commercial/refrigeration/::imp=22::pos=65.5::clk=0
HIGH,fireplace repair los angeles,1,22,0,22.5,/outdoor/fireplace-repair/,/services/fireplace-repair-los-angeles/,True,0,22,/services/fireplace-repair-los-angeles/::imp=22::pos=22.5::clk=0
HIGH,refrigeration repair near me,1,22,0,86.5,/,/riverside-county/,True,0,22,/riverside-county/::imp=22::pos=86.5::clk=0
LOW,refrigerator repair cost,1,22,0,64.8,/price-list/refrigerator-repair-cost/,/price-list/refrigerator-repair-cost/,False,22,22,/price-list/refrigerator-repair-cost/::imp=22::pos=64.8::clk=0
MEDIUM,wine cellar cooling unit repair,2,22,0,71.96,/services/wine-cellar-cooling-repair/,/services/wine-cellar-cooling-repair/,False,12,12,/services/wine-cellar-cooling-repair/::imp=12::pos=77.1::clk=0|/services/wine-cellar-repair-los-angeles/::imp=10::pos=65.8::clk=0
HIGH,ac repair cost,1,21,0,77.3,/,/price-list/air-conditioner-repair-cost/,True,0,21,/price-list/air-conditioner-repair-cost/::imp=21::pos=77.3::clk=0
MEDIUM,appliance repair monterey park ca,2,21,0,19.14,/monterey-park/,/monterey-park/,False,15,15,/monterey-park/::imp=15::pos=18.4::clk=0|/west-hollywood/::imp=6::pos=21.0::clk=0
LOW,cost to fix garbage disposal,1,21,0,52.9,/price-list/garbage-disposal-repair-cost/,/price-list/garbage-disposal-repair-cost/,False,21,21,/price-list/garbage-disposal-repair-cost/::imp=21::pos=52.9::clk=0
MEDIUM,dishwasher door spring repair cost,2,21,0,15.6,/price-list/dishwasher-repair-cost/,/price-list/dishwasher-repair-cost/,False,14,14,/price-list/dishwasher-repair-cost/::imp=14::pos=11.7::clk=0|/price-list/dishwasher-door-spring-repair-cost/::imp=7::pos=23.4::clk=0
HIGH,dryer repair pasadena,1,21,0,41.7,/pasadena/dryer-repair/,/pasadena/,True,0,21,/pasadena/::imp=21::pos=41.7::clk=0
LOW,appliance repair studio city,1,20,0,47.2,/studio-city/,/studio-city/,False,20,20,/studio-city/::imp=20::pos=47.2::clk=0
HIGH,wine guardian repair los angeles,3,20,0,15.57,/brands/wine-guardian-repair/,/services/wine-cellar-repair/,True,5,8,/services/wine-cellar-repair/::imp=8::pos=9.8::clk=0|/services/wine-cellar-repair-los-angeles/::imp=7::pos=23.7::clk=0|/brands/wine-guardian-repair/::imp=5::pos=13.4::clk=0
LOW,appliance repair highland park,1,19,0,32.7,/highland-park/,/highland-park/,False,19,19,/highland-park/::imp=19::pos=32.7::clk=0
LOW,appliance repair laguna niguel ca,1,19,0,46.9,/laguna-niguel/,/laguna-niguel/,False,19,19,/laguna-niguel/::imp=19::pos=46.9::clk=0
MEDIUM,appliance repair san bernardino ca,2,19,0,47.63,/san-bernardino/,/san-bernardino/,False,10,10,/san-bernardino/::imp=10::pos=49.9::clk=0|/san-bernardino-county/::imp=9::pos=45.1::clk=0
HIGH,capital grill repair,2,19,0,15.96,/outdoor/grill-repair/,/brands/capital-bbq-grill-repair/,True,0,12,/brands/capital-bbq-grill-repair/::imp=12::pos=11.5::clk=0|/services/bbq-grill-repair-los-angeles/::imp=7::pos=23.6::clk=0
HIGH,commercial laundry machine repair,2,19,0,82.5,/,/commercial/washer-repair/,True,0,13,/commercial/washer-repair/::imp=13::pos=82.5::clk=0|/commercial/laundry-repair/::imp=6::pos=82.5::clk=0
HIGH,commercial laundry repair,2,19,0,69.77,/,/commercial/laundry-repair/,True,0,12,/commercial/laundry-repair/::imp=12::pos=77.8::clk=0|/commercial/washer-repair/::imp=7::pos=56.0::clk=0
LOW,highland park appliance repair,1,19,0,37.0,/highland-park/,/highland-park/,False,19,19,/highland-park/::imp=19::pos=37.0::clk=0
HIGH,outdoor kitchen repair,2,19,0,26.56,/outdoor/outdoor-kitchen-repair/,/services/bbq-grill-repair-los-angeles/,True,0,10,/services/bbq-grill-repair-los-angeles/::imp=10::pos=17.8::clk=0|/outdoor/::imp=9::pos=36.3::clk=0
HIGH,refrigerator repair los angeles ca,2,19,0,63.27,/los-angeles/refrigerator-repair/,/los-angeles/,True,0,11,/los-angeles/::imp=11::pos=48.2::clk=0|/services/refrigerator-repair/::imp=8::pos=84.0::clk=0
HIGH,walk in freezer repair near me,1,19,0,51.2,/services/refrigerator-repair/,/,True,0,19,/::imp=19::pos=51.2::clk=0
HIGH,appliance repair los angeles,1,18,0,49.8,/los-angeles/,/areas/los-angeles-and-surrounding-areas/,True,0,18,/areas/los-angeles-and-surrounding-areas/::imp=18::pos=49.8::clk=0
MEDIUM,appliance repair sherman oaks ca,2,18,0,59.89,/sherman-oaks/,/sherman-oaks/,False,10,10,/sherman-oaks/::imp=10::pos=59.0::clk=0|/west-hollywood/::imp=8::pos=61.0::clk=0
HIGH,cellarpro repair los angeles,1,18,0,10.9,/brands/cellarpro/,/services/wine-cellar-repair/,True,0,18,/services/wine-cellar-repair/::imp=18::pos=10.9::clk=0
LOW,fridge repair cost,1,18,0,66.5,/price-list/refrigerator-repair-cost/,/price-list/refrigerator-repair-cost/,False,18,18,/price-list/refrigerator-repair-cost/::imp=18::pos=66.5::clk=0
HIGH,maytag dryer repair,1,18,0,66.7,/brands/maytag-dryer-repair-dryer-repair/,/brands/maytag/,True,0,18,/brands/maytag/::imp=18::pos=66.7::clk=0
HIGH,pizza oven repair,2,18,0,69.2,/outdoor/pizza-oven-repair/,/commercial/pizza-oven-repair/,True,0,12,/commercial/pizza-oven-repair/::imp=12::pos=71.2::clk=0|/services/pizza-oven-repair/::imp=6::pos=65.2::clk=0
HIGH,pizza ovens repair,2,18,0,35.81,/outdoor/pizza-oven-repair/,/price-list/pizza-oven-repair-cost/,True,0,13,/price-list/pizza-oven-repair-cost/::imp=13::pos=25.5::clk=0|/commercial/pizza-oven-repair/::imp=5::pos=62.6::clk=0
HIGH,refrigerator repair monterey,1,18,0,42.5,/services/refrigerator-repair/,/monterey-park/,True,0,18,/monterey-park/::imp=18::pos=42.5::clk=0
HIGH,stove repair pasadena,2,18,0,44.8,/pasadena/oven-repair/,/pasadena/,True,0,10,/pasadena/::imp=10::pos=36.8::clk=0|/south-pasadena/::imp=8::pos=54.8::clk=0
HIGH,appliance repair simi valley ca,1,17,0,1.0,/simi-valley/,/thousand-oaks/,True,0,17,/thousand-oaks/::imp=17::pos=1.0::clk=0
HIGH,appliance repair west la,1,17,0,13.1,/los-angeles/,/west-hollywood/,True,0,17,/west-hollywood/::imp=17::pos=13.1::clk=0
HIGH,commercial barbecue repair,1,17,0,15.6,/,/services/bbq-grill-repair-los-angeles/,True,0,17,/services/bbq-grill-repair-los-angeles/::imp=17::pos=15.6::clk=0
HIGH,commercial laundry equipment repair,2,17,0,71.08,/,/commercial/laundry-repair/,True,0,11,/commercial/laundry-repair/::imp=11::pos=88.3::clk=0|/commercial/washer-repair/::imp=6::pos=39.5::clk=0
HIGH,cooktop repair pasadena,2,17,0,37.78,/pasadena/cooktop-repair/,/pasadena/,True,0,12,/pasadena/::imp=12::pos=27.1::clk=0|/south-pasadena/::imp=5::pos=63.4::clk=0
LOW,microwave repair,1,17,0,46.2,/services/microwave-repair/,/services/microwave-repair/,False,17,17,/services/microwave-repair/::imp=17::pos=46.2::clk=0
HIGH,oven repair los angeles,1,17,0,20.5,/los-angeles/oven-repair/,/services/oven-repair-los-angeles/,True,0,17,/services/oven-repair-los-angeles/::imp=17::pos=20.5::clk=0
HIGH,ac repair service in french valley,1,16,0,60.9,/,/murrieta/,True,0,16,/murrieta/::imp=16::pos=60.9::clk=0
LOW,appliance repair brentwood,1,16,0,39.9,/brentwood/,/brentwood/,False,16,16,/brentwood/::imp=16::pos=39.9::clk=0
HIGH,appliance repair ventura,2,16,0,56.85,/ventura/,/ventura-county/,True,8,8,/ventura-county/::imp=8::pos=61.2::clk=0|/ventura/::imp=8::pos=52.5::clk=0
HIGH,bull outdoor refrigerator repair,2,16,0,42.8,/outdoor/outdoor-refrigerator-repair/,/outdoor/,True,0,8,/outdoor/::imp=8::pos=54.6::clk=0|/services/outdoor-refrigerator-repair/::imp=8::pos=31.0::clk=0
HIGH,commercial food processor repair,1,16,0,59.7,/,/commercial/food-processor-repair/,True,0,16,/commercial/food-processor-repair/::imp=16::pos=59.7::clk=0
HIGH,dryer service,2,16,0,31.1,/services/dryer-repair/,/agoura-hills/,True,0,8,/agoura-hills/::imp=8::pos=35.2::clk=0|/calabasas/::imp=8::pos=27.0::clk=0
LOW,ice maker repair,1,16,0,21.8,/services/ice-maker-repair/,/services/ice-maker-repair/,False,16,16,/services/ice-maker-repair/::imp=16::pos=21.8::clk=0
HIGH,lg washing machine repair near me,1,16,0,2.9,/brands/lg-washer-repair/,/west-hollywood/,True,0,16,/west-hollywood/::imp=16::pos=2.9::clk=0
HIGH,walk in freezer repair,1,16,0,38.0,/services/refrigerator-repair/,/,True,0,16,/::imp=16::pos=38.0::clk=0
MEDIUM,wine cooler repair cost,2,16,0,14.68,/price-list/wine-cooler-repair-cost/,/price-list/wine-cooler-repair-cost/,False,10,10,/price-list/wine-cooler-repair-cost/::imp=10::pos=8.6::clk=0|/price-list/commercial-wine-cooler-repair-cost/::imp=6::pos=24.8::clk=0
HIGH,appliance repair monterey,1,15,0,38.7,/,/monterey-park/,True,0,15,/monterey-park/::imp=15::pos=38.7::clk=0
MEDIUM,appliance repair south pasadena,2,15,0,38.4,/pasadena/,/pasadena/,False,8,8,/pasadena/::imp=8::pos=46.1::clk=0|/south-pasadena/::imp=7::pos=29.6::clk=0
HIGH,appliance repair venice ca,1,15,0,19.7,/,/los-angeles/,True,0,15,/los-angeles/::imp=15::pos=19.7::clk=0
HIGH,dryer repair burbank,1,15,0,57.1,/burbank/dryer-repair/,/burbank/,True,0,15,/burbank/::imp=15::pos=57.1::clk=0
HIGH,oven repair burbank,1,15,0,54.9,/burbank/oven-repair/,/burbank/,True,0,15,/burbank/::imp=15::pos=54.9::clk=0
HIGH,oven repair near me,2,15,0,6.47,/services/oven-repair/,/thousand-oaks/,True,0,10,/thousand-oaks/::imp=10::pos=1.0::clk=0|/rancho-cucamonga/::imp=5::pos=17.4::clk=0
HIGH,oven service,2,15,0,40.36,/services/oven-repair/,/agoura-hills/,True,0,9,/agoura-hills/::imp=9::pos=38.6::clk=0|/calabasas/::imp=6::pos=43.0::clk=0
HIGH,same day appliance repair orange county,2,15,0,17.92,/,/orange-county/,True,0,9,/orange-county/::imp=9::pos=11.2::clk=0|/book/::imp=6::pos=28.0::clk=0
MEDIUM,small appliance repair pasadena ca,2,15,0,41.91,/pasadena/,/pasadena/,False,8,8,/pasadena/::imp=8::pos=30.1::clk=0|/south-pasadena/::imp=7::pos=55.4::clk=0
HIGH,walk in cooler repair near me,1,15,0,30.6,/commercial/walk-in-cooler-repair/,/,True,0,15,/::imp=15::pos=30.6::clk=0
HIGH,24/7 industrial refrigeration service california,2,14,0,64.4,/,/commercial/refrigeration/,True,0,8,/commercial/refrigeration/::imp=8::pos=60.8::clk=0|/services/outdoor-refrigerator-repair/::imp=6::pos=69.2::clk=0
