status,query,prev_severity,prev_imp,curr_severity,curr_imp,winner_now,intended
PERSISTS,fireplace repair los angeles,HIGH,42,HIGH,22,/services/fireplace-repair-los-angeles/,/outdoor/fireplace-repair/
PERSISTS,refrigeration repair near me,HIGH,23,HIGH,22,/riverside-county/,/
PERSISTS,ac repair cost,HIGH,37,HIGH,21,/price-list/air-conditioner-repair-cost/,/
PERSISTS,dryer repair pasadena,HIGH,37,HIGH,21,/pasadena/,/pasadena/dryer-repair/
PERSISTS,wine guardian repair los angeles,HIGH,36,HIGH,20,/services/wine-cellar-repair/,/brands/wine-guardian-repair/
RESOLVED,appliance repair san bernardino ca,HIGH,33,MEDIUM,19,/san-bernardino/,/san-bernardino/
NEW,capital grill repair,—,0,HIGH,19,/brands/capital-bbq-grill-repair/,/outdoor/grill-repair/
PERSISTS,commercial laundry machine repair,HIGH,33,HIGH,19,/commercial/washer-repair/,/
PERSISTS,commercial laundry repair,HIGH,26,HIGH,19,/commercial/laundry-repair/,/
PERSISTS,outdoor kitchen repair,HIGH,34,HIGH,19,/services/bbq-grill-repair-los-angeles/,/outdoor/outdoor-kitchen-repair/
PERSISTS,refrigerator repair los angeles ca,HIGH,37,HIGH,19,/los-angeles/,/los-angeles/refrigerator-repair/
PERSISTS,walk in freezer repair near me,HIGH,27,HIGH,19,/,/services/refrigerator-repair/
PERSISTS,appliance repair los angeles,HIGH,32,HIGH,18,/areas/los-angeles-and-surrounding-areas/,/los-angeles/
PERSISTS,cellarpro repair los angeles,HIGH,34,HIGH,18,/services/wine-cellar-repair/,/brands/cellarpro/
PERSISTS,maytag dryer repair,HIGH,23,HIGH,18,/brands/maytag/,/brands/maytag-dryer-repair-dryer-repair/
PERSISTS,pizza oven repair,HIGH,23,HIGH,18,/commercial/pizza-oven-repair/,/outdoor/pizza-oven-repair/
PERSISTS,pizza ovens repair,HIGH,21,HIGH,18,/price-list/pizza-oven-repair-cost/,/outdoor/pizza-oven-repair/
PERSISTS,refrigerator repair monterey,HIGH,32,HIGH,18,/monterey-park/,/services/refrigerator-repair/
PERSISTS,stove repair pasadena,HIGH,24,HIGH,18,/pasadena/,/pasadena/oven-repair/
PERSISTS,appliance repair simi valley ca,HIGH,41,HIGH,17,/thousand-oaks/,/simi-valley/
PERSISTS,appliance repair west la,HIGH,27,HIGH,17,/west-hollywood/,/los-angeles/
PERSISTS,commercial barbecue repair,HIGH,28,HIGH,17,/services/bbq-grill-repair-los-angeles/,/
NEW,commercial laundry equipment repair,—,0,HIGH,17,/commercial/laundry-repair/,/
PERSISTS,cooktop repair pasadena,HIGH,22,HIGH,17,/pasadena/,/pasadena/cooktop-repair/
PERSISTS,oven repair los angeles,HIGH,24,HIGH,17,/services/oven-repair-los-angeles/,/los-angeles/oven-repair/
NEW,ac repair service in french valley,—,0,HIGH,16,/murrieta/,/
PERSISTS,appliance repair ventura,HIGH,32,HIGH,16,/ventura-county/,/ventura/
PERSISTS,bull outdoor refrigerator repair,HIGH,31,HIGH,16,/outdoor/,/outdoor/outdoor-refrigerator-repair/
NEW,commercial food processor repair,—,0,HIGH,16,/commercial/food-processor-repair/,/
PERSISTS,dryer service,HIGH,29,HIGH,16,/agoura-hills/,/services/dryer-repair/
PERSISTS,lg washing machine repair near me,HIGH,26,HIGH,16,/west-hollywood/,/brands/lg-washer-repair/
PERSISTS,walk in freezer repair,HIGH,33,HIGH,16,/,/services/refrigerator-repair/
PERSISTS,appliance repair monterey,HIGH,23,HIGH,15,/monterey-park/,/
PERSISTS,appliance repair venice ca,HIGH,44,HIGH,15,/los-angeles/,/
PERSISTS,dryer repair burbank,HIGH,34,HIGH,15,/burbank/,/burbank/dryer-repair/
PERSISTS,oven repair burbank,HIGH,30,HIGH,15,/burbank/,/burbank/oven-repair/
NEW,oven repair near me,—,0,HIGH,15,/thousand-oaks/,/services/oven-repair/
PERSISTS,oven service,HIGH,38,HIGH,15,/agoura-hills/,/services/oven-repair/
PERSISTS,same day appliance repair orange county,HIGH,42,HIGH,15,/orange-county/,/
PERSISTS,walk in cooler repair near me,HIGH,25,HIGH,15,/,/commercial/walk-in-cooler-repair/
NEW,24/7 industrial refrigeration service california,—,0,HIGH,14,/commercial/refrigeration/,/
NEW,appliance repair beverly,—,0,HIGH,14,/beverly-hills/,/
PERSISTS,appliance repair los angeles ca,HIGH,21,HIGH,14,/areas/los-angeles-and-surrounding-areas/,/los-angeles/
PERSISTS,appliance repair ventura county,HIGH,28,HIGH,14,/ventura-county/,/ventura/
PERSISTS,fridge repair near me,HIGH,48,HIGH,14,/pasadena/,/services/refrigerator-repair/
NEW,lg dryer repair,—,0,HIGH,14,/brands/lg/,/brands/lg-dryer-repair-dryer-repair/
NEW,lg oven repair,—,0,HIGH,14,/brands/lg/,/brands/lg-oven-repair-oven-repair/
PERSISTS,outdoor gas grill repair,HIGH,25,HIGH,14,/services/bbq-grill-repair-los-angeles/,/outdoor/grill-repair/
NEW,refrigerator repair in glendale ca,—,0,HIGH,14,/glendale/,/glendale/refrigerator-repair/
NEW,rotisserie oven maintenance service,—,0,HIGH,14,/brands/bki-rotisserie-repair/,/services/oven-repair/
NEW,capital barbecue repair,—,0,HIGH,13,/brands/capital-bbq-grill-repair/,/
PERSISTS,commercial dryer repair,HIGH,25,HIGH,13,/commercial/laundry-repair/,/commercial/dryer-repair/
PERSISTS,dishwasher repair near me,HIGH,32,HIGH,13,/thousand-oaks/,/services/dishwasher-repair/
PERSISTS,dryer repair ventura,HIGH,30,HIGH,13,/ventura/,/ventura/dryer-repair/
PERSISTS,electrical bbq repair,HIGH,24,HIGH,13,/services/bbq-grill-repair-los-angeles/,/outdoor/grill-repair/
PERSISTS,emergency refrigerator repair,HIGH,45,HIGH,13,/west-hollywood/,/services/refrigerator-repair/
PERSISTS,gas fireplace repair cost,HIGH,27,HIGH,13,/price-list/fireplace-repair-cost/,/outdoor/fireplace-repair/
NEW,home appliance repair near me,—,0,HIGH,13,/pasadena/,/
NEW,lg dryer repair service,—,0,HIGH,13,/brands/lg/,/brands/lg-dryer-repair-dryer-repair/
NEW,lg washing machine repair,—,0,HIGH,13,/brands/lg/,/brands/lg-washer-repair/
PERSISTS,range repair,HIGH,48,HIGH,13,/agoura-hills/,/services/oven-repair/
HIGH_NOW,range service,CRITICAL,55,HIGH,13,/services/range-repair-los-angeles/,/services/oven-repair/
PERSISTS,stacked dryer repair,HIGH,25,HIGH,13,/services/stackable-washer-dryer-repair/,/services/dryer-repair/
PERSISTS,walk in cooler repair,HIGH,31,HIGH,13,/,/commercial/walk-in-cooler-repair/
PERSISTS,washer repair near me,HIGH,27,HIGH,13,/rancho-cucamonga/,/services/washer-repair/
PERSISTS,whisperkool repair los angeles,HIGH,28,HIGH,13,/price-list/wine-cellar-repair-cost/,/brands/whisperkool/
PERSISTS,wine cellar cooling unit repair los angeles,HIGH,41,HIGH,13,/price-list/wine-cellar-repair-cost/,/los-angeles/wine-cellar-cooling-repair/
NEW,wine cooler repair near me,—,0,HIGH,13,/temecula/,/services/wine-cooler-repair/
NEW,ac maintenance cost,—,0,HIGH,12,/price-list/air-conditioner-repair-cost/,/
NEW,air conditioner tune up cost,—,0,HIGH,12,/price-list/air-conditioner-repair-cost/,/
PERSISTS,appliance repair north hollywood,HIGH,20,HIGH,12,/north-hollywood/,/hollywood/
NEW,bbq grill repair,—,0,HIGH,12,/services/bbq-grill-repair-los-angeles/,/outdoor/grill-repair/
PERSISTS,cove dishwasher repair brentwood,HIGH,24,HIGH,12,/brentwood/,/brands/cove-dishwasher-repair-dishwasher-repair/
NEW,dishwasher repair monterey,—,0,HIGH,12,/monterey-park/,/services/dishwasher-repair/
NEW,same day commercial appliance repair,—,0,HIGH,12,/west-hollywood/,/
NEW,same day refrigerator repair los angeles,—,0,HIGH,12,/los-angeles/,/los-angeles/refrigerator-repair/
NEW,slush machine repair,—,0,HIGH,12,/price-list/commercial-slushie-machine-repair-cost/,/
PERSISTS,small appliance repair ventura ca,HIGH,26,HIGH,12,/ventura-county/,/ventura/
PERSISTS,wall heater repair,HIGH,31,HIGH,12,/services/wall-heater-repair-los-angeles/,/
PERSISTS,wolf range repair brentwood,HIGH,21,HIGH,12,/brentwood/,/brands/wolf-range-repair-oven-repair/
NEW,appliance repair marina,—,0,HIGH,11,/marina-del-rey/,/
NEW,appliance repair studio city ca,—,0,HIGH,11,/west-hollywood/,/studio-city/
NEW,appliance repair valley glen ca,—,0,HIGH,11,/west-hollywood/,/
PERSISTS,cellarpro repair,HIGH,21,HIGH,11,/services/wine-cellar-repair-los-angeles/,/brands/cellarpro/
PERSISTS,fireplace service los angeles,HIGH,22,HIGH,11,/services/fireplace-repair-los-angeles/,/outdoor/fireplace-repair/
PERSISTS,ice maker repair near me,HIGH,31,HIGH,11,/rancho-cucamonga/,/services/ice-maker-repair/
NEW,lg fridge repair,—,0,HIGH,11,/brands/lg/,/brands/lg-refrigerator-repair/
PERSISTS,los angeles fireplace repair,HIGH,20,HIGH,11,/services/fireplace-repair-los-angeles/,/outdoor/fireplace-repair/
NEW,oven repair cost,—,0,HIGH,11,/price-list/wall-oven-repair-cost/,/price-list/oven-repair-cost/
NEW,pizza oven repair near me,—,0,HIGH,11,/commercial/pizza-oven-repair/,/outdoor/pizza-oven-repair/
PERSISTS,refrigerator repair brentwood,HIGH,21,HIGH,11,/brentwood/,/brentwood/refrigerator-repair/
PERSISTS,refrigerator repair ventura ca,HIGH,25,HIGH,11,/ventura-county/,/ventura/refrigerator-repair/
NEW,us cellar systems repair los angeles,—,0,HIGH,11,/price-list/wine-cellar-repair-cost/,/los-angeles/
PERSISTS,walk in cooler repair anaheim ca,HIGH,22,HIGH,11,/commercial/refrigeration/walk-in-cooler-repair/,/commercial/walk-in-cooler-repair/
RESOLVED,wine guardian repair,HIGH,30,MEDIUM,11,/brands/wine-guardian-repair/,/brands/wine-guardian-repair/
NEW,barbecue repair,—,0,HIGH,10,/services/bbq-grill-repair-los-angeles/,/
NEW,dryer repair highland park,—,0,HIGH,10,/highland-park/,/highland-park/dryer-repair/
NEW,electrolux washer repair,—,0,HIGH,10,/brands/electrolux-washer-repair/,/brands/electrolux-washer-repair-washer-repair/
NEW,fix my bbq,—,0,HIGH,10,/services/bbq-grill-repair-los-angeles/,/outdoor/grill-repair/
NEW,oven repair pasadena,—,0,HIGH,10,/pasadena/,/pasadena/oven-repair/
PERSISTS,refrigerator repair pasadena,HIGH,20,HIGH,10,/pasadena/,/pasadena/refrigerator-repair/
NEW,walk in cooler fix,—,0,HIGH,10,/,/commercial/walk-in-cooler-repair/
NEW,wine cooler compressor replacement cost,—,0,HIGH,10,/price-list/commercial-wine-cooler-repair-cost/,/price-list/wine-cooler-repair-cost/
PERSISTS,woodland hills stove repair,HIGH,35,HIGH,10,/woodland-hills/,/woodland-hills/oven-repair/
RESOLVED,commercial fryer repair,CRITICAL,70,LOW,9,/commercial/fryer-repair/,/commercial/fryer-repair/
RESOLVED,pasadena refrigerator repair,HIGH,21,LOW,9,/pasadena/,/pasadena/refrigerator-repair/
RESOLVED,walk-in freezer repair,HIGH,21,LOW,8,/,/services/refrigerator-repair/
RESOLVED,woodland hills oven repair,HIGH,30,LOW,8,/woodland-hills/,/woodland-hills/oven-repair/
RESOLVED,appliance repair west hollywood ca,HIGH,43,LOW,7,/west-hollywood/,/hollywood/
RESOLVED,fridge repair,HIGH,30,LOW,7,/pasadena/,/services/refrigerator-repair/
RESOLVED,refrigerator service,HIGH,21,LOW,7,/agoura-hills/,/services/refrigerator-repair/
RESOLVED,washer repair ventura,HIGH,25,LOW,7,/ventura/,/ventura/washer-repair/
RESOLVED,woodland hills dryer repair,HIGH,30,LOW,7,/woodland-hills/,/woodland-hills/dryer-repair/
RESOLVED,commercial laundry equipment service,HIGH,21,LOW,6,/commercial/laundry-repair/,/
RESOLVED,gas stove repair near me,HIGH,25,LOW,6,/services/stove-repair/,/services/oven-repair/
RESOLVED,woodland hills ge repair,HIGH,23,LOW,6,/woodland-hills/,/brands/ge/
RESOLVED,woodland hills washer repair,HIGH,26,LOW,6,/woodland-hills/,/woodland-hills/washer-repair/
RESOLVED,appliane repair culver city ca,HIGH,27,LOW,5,/west-hollywood/,/culver-city/
RESOLVED,commercial appliance repair los angeles,HIGH,21,LOW,5,/commercial/washer-repair/,/los-angeles/
RESOLVED,freezer repair los angeles,HIGH,22,LOW,5,/services/freezer-repair/,/los-angeles/refrigerator-repair/
RESOLVED,same-day appliance repair reviews,HIGH,32,LOW,5,/reviews-page/,/
RESOLVED,thermador repair,HIGH,38,LOW,5,/los-angeles/,/brands/thermador/
RESOLVED,walk in wine cellar repair,HIGH,32,LOW,5,/services/wine-cooler-repair/,/services/wine-cellar-cooling-repair/
VANISHED,california same day appliance repair,HIGH,21,—,0,—,/
VANISHED,commercial deep fryer repair,HIGH,45,—,0,—,/commercial/fryer-repair/
VANISHED,commercial gas fryer repair,HIGH,44,—,0,—,/commercial/fryer-repair/
VANISHED,freezer repair,HIGH,23,—,0,—,/services/refrigerator-repair/
VANISHED,fryer repair,HIGH,35,—,0,—,/commercial/fryer-repair/
VANISHED,gas fryer repair,HIGH,24,—,0,—,/commercial/fryer-repair/
VANISHED,refrigirator repair,HIGH,41,—,0,—,/
VANISHED,repair deep fryer,CRITICAL,54,—,0,—,/commercial/fryer-repair/
VANISHED,restaurant fryer repair,HIGH,20,—,0,—,/commercial/fryer-repair/
VANISHED,same day hvac repair,HIGH,28,—,0,—,/
VANISHED,stove service,HIGH,28,—,0,—,/services/oven-repair/
VANISHED,washing machine repair near me,HIGH,20,—,0,—,/services/washer-repair/
